label,c1,c2,h2,short_range,intensity
peak2,21.169001,20.724001,0.880000,,20427854.000000
peak3,14.415000,20.728001,0.881000,,964005.000000
peak4,25.693001,20.726999,0.879000,,1423664.000000
peak5,23.554001,20.726999,0.881000,,2379496.000000
peak7,20.728001,21.164000,0.863000,,19983890.000000
peak8,14.415000,21.167000,0.864000,,1679175.000000
peak9,25.693001,21.167000,0.863000,,1077196.000000
peak10,23.554001,21.169001,0.864000,,1610720.000000
peak12,20.728001,14.414000,0.881000,,1268712.000000
peak13,21.169001,14.413000,0.880000,,3073664.000000
peak14,21.059000,14.415000,0.881000,,3001597.000000
peak16,23.702999,25.052000,1.142000,,1637199.000000
peak17,21.059000,25.049999,1.140000,,2278902.000000
peak19,14.415000,21.059000,1.250000,,758140.000000
peak20,25.049999,21.056999,1.253000,,2510633.000000
peak21,23.702999,21.059000,1.251000,x,9183144.000000
peak23,25.049999,23.702000,0.996000,,1902899.000000
peak24,21.059000,23.702000,0.995000,x,10006120.000000
peak25,18.488001,23.702999,0.998000,,3306942.000000
peak27,22.108000,21.819000,0.882000,,15493044.000000
peak28,23.849001,21.825001,0.880000,,5763312.000000
peak29,28.120001,21.825001,0.880000,,2841205.000000
peak30,25.406000,21.826000,0.884000,,2902046.000000
peak31,21.409000,21.823999,0.881000,,9133868.000000
peak32,24.431000,21.825001,0.880000,,2634096.000000
peak33,21.417999,21.823000,0.881000,,9133868.000000
peak35,21.823000,22.108999,0.810000,,9554955.000000
peak36,22.375999,22.108000,0.808000,,9227253.000000
peak37,18.488001,22.108999,0.811000,,1952459.000000
peak38,23.849001,22.108000,0.810000,,6075114.000000
peak39,28.120001,22.111000,0.811000,,3381453.000000
peak40,25.406000,22.106001,0.811000,,2126378.000000
peak41,21.409000,22.108000,0.815000,,6713464.000000
peak42,24.431000,22.106001,0.811000,,2269523.000000
peak43,21.417999,22.101999,0.811000,,6713464.000000
peak45,23.702999,18.488001,0.572000,,622880.000000
peak46,21.059000,18.485001,0.576000,,863932.000000
peak47,22.108000,18.485001,0.573000,,966349.000000
peak48,22.375999,18.488001,0.576000,x,6818290.000000
peak50,22.108000,22.372999,0.882000,,17026692.000000
peak51,18.488001,22.374001,0.881000,x,13191011.000000
peak52,19.284000,22.374001,0.880000,,195441.000000
peak53,15.499000,22.375999,0.880000,,1451932.000000
peak55,18.922001,19.138000,1.592000,,12510914.000000
peak57,19.138000,18.921000,1.420000,,46662704.000000
peak60,22.108000,15.498000,0.680000,,839627.000000
peak61,22.375999,15.499000,0.681000,,1517051.000000
peak65,20.728001,23.554001,1.057000,,2288139.000000
peak66,21.169001,23.556999,1.056000,,2092704.000000
peak67,25.693001,23.552999,1.059000,x,19769992.000000
peak68,25.288000,23.552999,1.058000,,2413637.000000
peak69,15.862000,23.554001,1.059000,x,5486872.000000
peak71,20.728001,25.691000,0.840000,,2366684.000000
peak72,21.169001,25.693001,0.841000,,1746851.000000
peak73,23.554001,25.691999,0.837000,x,18912246.000000
peak74,25.288000,25.691999,0.841000,,500860.000000
peak75,15.862000,25.693001,0.841000,,4270526.000000
peak77,23.554001,22.799999,0.156000,,689182.000000
peak78,25.288000,22.796000,0.153000,x,11842863.000000
peak79,15.862000,22.797001,0.156000,,3700815.000000
peak80,17.429001,22.799000,0.154000,,2052586.000000
peak81,19.629999,22.797001,0.156000,,643425.000000
peak82,12.015000,22.799000,0.156000,,877778.000000
peak84,25.693001,25.285000,-0.107000,,1419194.000000
peak85,23.554001,25.288000,-0.107000,,1398533.000000
peak86,22.799000,25.285999,-0.109000,x,10791063.000000
peak87,15.862000,25.285000,-0.109000,,5713538.000000
peak88,17.429001,25.288000,-0.111000,,748302.000000
peak90,25.693001,15.862000,0.953000,,3989485.000000
peak91,23.554001,15.860000,0.950000,x,4973279.000000
peak92,25.288000,15.862000,0.952000,,5165377.000000
peak93,22.799000,15.861000,0.952000,,2681114.000000
peak94,15.659000,15.861000,0.950000,,3602458.000000
peak95,20.077000,15.862000,0.950000,,192586.000000
peak97,15.862000,15.659000,1.048000,,8085966.000000
peak99,22.160000,18.488001,0.869000,,13458545.000000
peak100,24.954000,18.487000,0.865000,,1666759.000000
peak101,23.441999,18.487000,0.867000,,2142577.000000
peak102,22.249001,18.490000,0.873000,,11309898.000000
peak103,23.634001,18.487000,0.869000,,4964130.000000
peak104,23.849001,18.490000,0.869000,,3666911.000000
peak105,28.120001,18.487000,0.871000,,6590384.000000
peak106,25.406000,18.483000,0.869000,,4663614.000000
peak107,21.409000,18.487000,0.870000,,2133426.000000
peak109,18.487000,22.158001,0.852000,,12121829.000000
peak110,24.954000,22.160000,0.852000,,1497004.000000
peak111,23.441999,22.167000,0.853000,,3965639.000000
peak113,23.634001,22.160000,0.852000,,10202148.000000
peak114,23.849001,22.160000,0.854000,,6354356.000000
peak115,28.120001,22.162001,0.854000,,5945976.000000
peak116,25.406000,22.162001,0.854000,,2819632.000000
peak118,22.160000,23.443001,0.768000,,1690854.000000
peak119,18.487000,23.441999,0.764000,,1245166.000000
peak120,24.954000,23.441999,0.768000,x,64608036.000000
peak122,22.160000,24.955000,0.745000,,1241488.000000
peak123,18.487000,24.954000,0.742000,,1234150.000000
peak124,23.441999,24.954000,0.743000,x,52314908.000000
peak126,15.862000,20.072001,-0.867000,,276276.000000
peak128,20.537001,13.669000,0.022000,,7390162.000000
peak129,17.429001,13.672000,0.021000,,670776.000000
peak130,19.629999,13.669000,0.023000,,4325550.000000
peak132,19.702000,23.363001,1.793000,,917918.000000
peak133,20.716999,23.364000,1.793000,,630611.000000
peak135,23.364000,19.702000,-0.382000,,1606962.000000
peak136,28.181999,19.701000,-0.380000,x,11734306.000000
peak137,26.924999,19.702000,-0.382000,,4857830.000000
peak138,22.540001,19.700001,-0.381000,,4204306.000000
peak139,19.353001,19.701000,-0.381000,,1507978.000000
peak140,16.436001,19.701000,-0.382000,x,6939998.000000
peak141,26.962000,19.702000,-0.382000,,4857830.000000
peak143,19.702000,28.184999,0.512000,x,9423735.000000
peak144,26.924999,28.184000,0.511000,,8749243.000000
peak145,22.540001,28.181999,0.515000,x,6606559.000000
peak146,19.353001,28.180000,0.511000,,619116.000000
peak147,16.436001,28.180000,0.517000,,2391100.000000
peak148,26.962000,28.181999,0.511000,,8749243.000000
peak149,23.393999,28.181999,0.508000,,3002477.000000
peak151,19.702000,22.540001,0.812000,,3295500.000000
peak152,28.181999,22.538000,0.811000,x,7192247.000000
peak153,26.924999,22.540001,0.814000,,23780964.000000
peak154,16.436001,22.546000,0.810000,,783859.000000
peak155,26.962000,22.546000,0.814000,,23780964.000000
peak156,23.393999,22.540001,0.811000,,3015273.000000
peak158,19.702000,26.921000,1.007000,,1988542.000000
peak159,28.181999,26.924999,1.002000,,4262588.000000
peak160,22.540001,26.924999,1.005000,x,18561648.000000
peak161,16.436001,26.924999,1.004000,,408752.000000
peak163,23.393999,26.924999,1.005000,,2359090.000000
peak165,13.669000,20.534000,1.112000,,4915057.000000
peak166,20.716999,20.533001,1.112000,,15394861.000000
peak167,19.629999,20.537001,1.110000,x,7261949.000000
peak169,23.364000,20.715000,1.332000,,512859.000000
peak170,20.537001,20.715000,1.333000,,30255262.000000
peak171,19.629999,20.716999,1.333000,,8418725.000000
peak173,22.799000,17.427000,1.066000,,1508369.000000
peak174,13.669000,17.426001,1.065000,,561318.000000
peak175,19.629999,17.427000,1.067000,,3286858.000000
peak176,12.015000,17.429001,1.064000,,2795638.000000
peak178,13.669000,19.632000,0.537000,,2609404.000000
peak179,20.537001,19.632000,0.534000,x,9885741.000000
peak180,20.716999,19.632000,0.532000,,9901144.000000
peak181,17.429001,19.629999,0.534000,,3848829.000000
peak183,22.799000,12.014000,0.154000,,644688.000000
peak184,17.429001,12.015000,0.156000,,7753078.000000
peak186,20.462000,18.222000,1.635000,,8953036.000000
peak187,18.521000,18.223000,1.637000,,6277856.000000
peak189,18.221001,18.520000,1.082000,,4562082.000000
peak190,20.462000,18.520000,1.084000,x,11171944.000000
peak191,19.353001,18.521000,1.080000,,3573852.000000
peak193,18.221001,20.466000,1.044000,,9945217.000000
peak194,18.521000,20.466000,1.043000,x,13777710.000000
peak195,19.353001,20.462000,1.044000,,3979184.000000
peak197,20.462000,19.351999,1.271000,,2266065.000000
peak198,18.521000,19.351999,1.272000,,2653733.000000
peak199,16.436001,19.353001,1.270000,,1765630.000000
peak201,19.702000,16.433001,1.095000,x,5090960.000000
peak202,28.181999,16.433001,1.092000,,2284448.000000
peak203,22.540001,16.436001,1.093000,,819526.000000
peak204,19.353001,16.436001,1.090000,,2034122.000000
peak206,22.683001,20.877001,0.984000,x,36699232.000000
peak208,20.877001,22.683001,1.088000,x,46854052.000000
peak210,28.181999,23.395000,1.340000,,3130912.000000
peak211,26.924999,23.393999,1.342000,,13763676.000000
peak212,22.540001,23.393000,1.341000,,3109286.000000
peak213,26.962000,23.393000,1.341000,,13763676.000000
peak214,23.634001,23.393999,1.340000,,2974004.000000
peak216,19.702000,26.966000,0.779000,,2469025.000000
peak217,28.181999,26.962000,0.773000,x,5303334.000000
peak219,22.540001,26.959999,0.776000,x,6066900.000000
peak220,23.393999,26.962000,0.771000,x,9267280.000000
peak223,18.487000,22.247000,1.013000,,4495624.000000
peak224,23.634001,22.247000,1.014000,x,23711366.000000
peak225,28.120001,22.249001,1.014000,,2957288.000000
peak227,22.160000,23.632000,1.240000,,33974568.000000
peak228,18.487000,23.632000,1.246000,,4170480.000000
peak229,23.393999,23.634001,1.243000,,5932112.000000
peak230,22.249001,23.634001,1.247000,,33835892.000000
peak231,28.120001,23.638000,1.246000,,2818262.000000
peak233,21.823000,23.849001,1.002000,,5500836.000000
peak234,22.108000,23.849001,1.001000,,9363091.000000
peak235,22.160000,23.847000,1.008000,,8863622.000000
peak236,18.487000,23.849001,1.003000,,3758515.000000
peak237,28.120001,23.841000,1.005000,,7501841.000000
peak238,25.406000,23.849001,1.003000,,5386632.000000
