label,c1,c2,h2,intensity
peak1,20.721,20.742,0.880,229291280
peak2,21.159,21.162,0.864,216936352
peak3,20.758,21.125,0.865,15671099
peak4,14.415,14.415,0.880,240855200
peak5,25.022,25.028,1.140,147217440
peak6,21.068,21.088,1.252,150534240
peak7,23.689,21.091,1.253,10468986
peak8,23.724,23.748,1.000,171534912
peak9,21.071,23.733,1.000,9579501
peak10,21.818,21.844,0.881,64436140
peak11,23.951,21.888,0.886,6581426
peak12,22.129,22.150,0.823,117475456
peak13,18.502,18.510,0.579,57567556
peak14,22.361,18.491,0.579,5452160
peak15,22.341,22.354,0.878,127317424
peak16,18.520,22.305,0.879,10898809
peak17,19.135,19.145,1.592,163555264
peak18,18.913,18.922,1.420,361834176
peak19,19.237,19.242,1.423,1119813248
peak20,15.491,15.495,0.680,85144480
peak21,18.174,18.175,1.456,132165872
peak22,17.839,17.843,1.477,174226384
peak23,23.547,23.556,1.058,137115088
peak24,25.684,23.552,1.058,10745676
peak25,15.903,23.528,1.055,2879459
peak26,25.675,25.675,0.841,168198688
peak27,23.541,25.678,0.841,14054007
peak28,22.796,22.814,0.156,150935696
peak29,25.297,22.813,0.156,9743482
peak30,17.461,22.805,0.161,1778340
peak31,25.291,25.311,-0.107,99146664
peak32,22.795,25.307,-0.107,8213864
peak33,15.856,25.314,-0.106,3760694
peak34,15.854,15.864,0.951,111822736
peak35,23.587,15.835,0.951,5079324
peak36,15.667,15.667,1.048,138993056
peak37,18.482,18.481,0.869,100582112
peak38,22.175,18.480,0.866,6762631
peak39,28.120,18.473,0.869,4627808
peak40,22.178,22.196,0.864,145356864
peak41,18.473,22.230,0.870,11068893
peak42,23.649,22.231,0.866,5793546
peak43,28.126,22.214,0.863,4264366
peak44,28.177,22.328,0.885,5887244
peak45,22.178,22.196,0.864,145356864
peak46,18.473,22.230,0.870,11068893
peak47,23.442,23.453,0.768,475400064
peak48,24.939,23.452,0.768,29691490
peak49,24.940,24.959,0.742,312551712
peak50,23.441,24.966,0.742,19743650
peak51,20.065,20.068,-0.868,70414560
peak52,13.666,13.675,0.023,169342064
peak53,20.521,13.668,0.022,2403850
peak54,23.355,23.362,1.794,179965184
peak55,19.689,19.700,-0.384,121122952
peak56,16.431,19.705,-0.385,6038254
peak57,22.586,19.707,-0.387,1831697
peak58,28.168,19.704,-0.384,10857647
peak59,28.167,28.166,0.510,100192216
peak60,26.959,28.166,0.511,6485997
peak61,22.550,28.187,0.509,4956688
peak62,19.683,28.165,0.511,8785221
peak63,22.545,22.545,0.814,136903824
peak64,26.932,22.548,0.814,15960377
peak65,25.934,22.351,0.807,808526
peak66,28.181,22.528,0.813,6143535
peak67,26.917,26.917,1.004,226485104
peak68,22.543,26.928,1.004,13126367
peak69,20.522,20.522,1.111,131665064
peak70,19.631,20.537,1.111,6065529
peak71,20.715,20.734,1.333,193984912
peak72,25.016,20.665,1.328,3125782
peak73,17.428,17.444,1.063,124605712
peak74,19.625,19.648,0.536,57759592
peak75,20.538,19.649,0.535,5590504
peak76,12.012,12.030,0.156,294401824
peak77,17.443,12.019,0.157,3290647
peak78,18.193,18.197,1.639,143135024
peak79,20.450,18.174,1.638,3123180
peak80,18.562,18.584,1.082,73970280
peak81,19.354,18.583,1.084,3532255
peak82,20.448,18.581,1.082,7240178
peak83,20.443,20.464,1.042,273213344
peak84,18.550,20.465,1.048,9322619
peak85,19.368,19.383,1.275,63460408
peak86,22.618,19.322,1.277,1028029
peak87,16.430,16.434,1.093,100096232
peak88,19.689,16.425,1.092,4280884
peak89,20.869,20.888,0.986,360967104
peak90,22.674,20.879,0.987,14013621
peak91,27.016,20.906,0.987,2847642
peak92,22.669,22.677,1.090,332340256
peak93,20.868,22.680,1.089,22204376
peak94,23.380,23.403,1.342,85810232
peak95,22.510,23.417,1.336,2917870
peak96,26.949,23.415,1.339,9838169
peak97,26.951,26.961,0.776,88655976
peak98,28.173,26.962,0.776,4552518
peak99,22.561,26.943,0.774,3653044
peak100,23.380,26.977,0.776,7292322
peak101,22.232,22.235,1.014,240197392
peak102,23.627,22.222,1.013,13840494
peak103,23.627,23.628,1.245,224589424
peak104,22.219,23.627,1.245,20366482
peak105,18.426,23.646,1.242,1365798
peak106,28.113,28.129,1.011,99427288
peak107,23.876,28.095,1.011,4421186
peak108,21.415,21.424,-0.106,131279184
peak109,25.397,21.430,-0.105,12957662
peak110,23.852,21.406,-0.102,2080768
peak111,18.540,21.432,-0.102,1023692
peak112,25.398,25.413,0.413,127420928
peak113,23.862,25.414,0.410,2539497
peak114,21.415,25.415,0.413,10134230
peak115,18.496,25.441,0.413,2939203
peak116,21.414,21.422,0.854,110496336
peak117,24.427,21.426,0.854,5756066
peak118,24.428,24.431,-0.125,17081070
peak119,21.420,24.438,-0.124,3989974
peak120,14.239,14.244,0.674,331480192
peak121,21.402,14.242,0.674,11484327
peak122,21.151,14.247,0.675,8486818
peak123,22.609,22.634,0.720,151135440
peak124,18.473,22.656,0.716,3140768
peak125,25.970,25.972,0.667,584939392
peak126,25.421,25.977,0.668,16695616
peak127,25.017,25.974,0.673,2592726
peak128,24.251,25.953,0.665,14193356
peak129,23.899,25.985,0.667,5484526
peak130,22.596,25.984,0.667,6354141
peak131,20.825,25.965,0.667,6880234
peak132,19.951,25.984,0.667,6100779
peak133,19.484,25.954,0.664,3047434
peak134,19.148,25.926,0.665,2456101
peak135,18.479,25.952,0.667,4983500
peak136,12.935,25.978,0.666,3465608
peak137,24.250,24.252,0.573,287484576
peak138,24.250,24.252,0.573,287484576
peak139,25.937,24.253,0.574,15892258
peak140,18.496,24.268,0.573,2721868
peak141,22.599,22.615,1.155,92065776
peak142,12.934,22.605,1.157,6433114
peak143,12.886,22.626,1.152,6343363
peak144,24.114,24.116,1.257,215417520
peak145,25.652,24.110,1.256,12339434
peak146,25.662,25.662,1.040,257042256
peak147,24.122,25.657,1.041,12567048
peak148,17.275,17.295,0.040,174545312
peak149,12.928,12.949,-0.588,140409520
peak150,20.969,12.956,-0.587,5824788
peak151,22.598,12.951,-0.587,11989942
peak152,26.007,12.947,-0.587,3414720
peak153,25.428,12.960,-0.587,3411586
peak154,25.431,25.454,0.651,498613376
peak155,23.887,25.461,0.652,5877775
peak156,22.597,25.442,0.651,5983092
peak157,20.990,25.468,0.653,2317542
peak158,20.722,25.640,0.644,739206
peak159,19.944,25.470,0.650,2723516
peak160,12.941,25.414,0.654,2359949
peak161,25.093,25.113,1.012,653406592
peak162,25.745,25.120,1.012,17333302
peak163,23.903,25.137,1.013,8292922
peak164,17.111,25.182,1.014,4114482
peak165,25.769,25.786,1.016,679014080
peak166,25.100,25.793,1.015,21968012
peak167,23.898,25.796,1.015,10719468
peak168,17.116,17.123,-0.067,56181504
peak169,20.995,17.130,-0.067,6482274
peak170,20.987,20.989,-0.315,103835616
peak171,17.110,20.997,-0.314,6242148
peak172,19.861,19.870,1.347,99291464
peak173,23.894,23.911,1.454,130632760
peak174,25.795,23.909,1.455,7228672
peak175,25.415,23.901,1.455,3971412
peak176,25.069,23.946,1.453,4313917
peak177,24.563,24.564,1.401,155357856
peak178,23.975,24.550,1.395,1771839
peak179,19.171,19.194,-0.061,166974336
peak180,18.573,19.174,-0.058,2643172
peak181,20.731,19.200,-0.060,5793662
peak182,20.735,19.508,-0.286,3619336
peak183,19.484,19.509,-0.288,146715808
peak184,25.951,19.525,-0.286,2914998
peak185,21.134,21.132,0.768,227005072
peak186,14.238,21.138,0.769,5640576
peak187,28.195,21.088,0.763,903755
peak188,21.404,21.417,0.583,215515056
peak189,20.783,21.415,0.584,2339384
peak190,14.248,21.417,0.583,6204514
peak191,18.491,18.489,0.256,156106608
peak192,19.113,18.475,0.262,2375447
peak193,20.738,18.490,0.256,12593492
peak194,22.630,18.473,0.257,4162954
peak195,24.211,18.473,0.256,2351687
peak196,25.938,18.483,0.256,5103648
peak197,20.744,20.771,-0.321,110856504
peak198,19.440,20.754,-0.320,4071428
peak199,19.181,20.770,-0.321,5386363
peak200,18.810,20.804,-0.327,1129339
peak201,18.490,20.762,-0.320,11448259
peak202,25.947,20.766,-0.321,4371718
peak203,19.947,19.967,0.659,117660920
peak204,20.961,19.978,0.659,8851684
peak205,22.578,19.873,0.665,1658542
peak206,25.973,19.980,0.659,5995961
peak207,25.454,19.943,0.661,2850387
peak208,24.868,19.972,0.659,8393770
peak209,20.960,20.965,0.588,113983160
peak210,19.943,20.965,0.588,7119404
peak211,12.927,20.969,0.587,4460806
peak212,26.004,20.958,0.589,5784392
peak213,22.522,21.048,0.588,1722462
peak214,23.373,23.380,1.072,207828944
peak215,26.249,23.372,1.071,10485939
peak216,26.255,26.266,0.942,144769072
peak217,23.374,26.254,0.940,12352756
peak218,23.498,23.520,0.932,767770624
peak219,25.794,23.621,0.936,18478810
peak220,25.793,25.802,0.943,344654752
peak221,23.603,25.798,0.942,15855448
peak222,25.098,25.120,0.852,643183296
peak223,23.613,25.167,0.855,2282354
peak224,19.537,25.074,0.858,532315
peak225,19.087,25.111,0.858,1421987
peak226,24.868,24.872,0.779,594312256
peak227,23.601,24.866,0.782,2791663
peak228,19.943,24.867,0.778,8240140
peak229,25.762,24.887,0.771,2520999
peak230,20.977,26.313,0.942,4610460
