label,c1,c2,h2,intensity
peak1,22.832,23.125,-0.202,925166
peak2,23.597,13.561,0.105,510217
peak3,20.228,13.562,0.102,3966593
peak4,19.469,13.562,0.104,2004220
peak5,15.805,15.840,0.843,19385248
peak6,23.662,15.812,0.844,1427788
peak7,17.076,15.807,0.842,876608
peak8,20.005,15.830,0.843,724982
peak9,14.239,14.267,0.897,49728192
peak10,20.992,14.272,0.896,1520776
peak11,23.601,14.234,0.899,2145980
peak12,23.597,23.597,1.816,17004908
peak13,20.149,23.597,1.814,646436
peak14,27.603,27.603,0.476,4347462
peak15,20.149,27.611,0.473,1952014
peak16,27.111,27.603,0.475,2749474
peak17,22.800,27.610,0.475,2301203
peak18,16.829,27.603,0.476,985085
peak19,24.434,27.606,0.475,948435
peak20,27.244,27.607,0.476,2540562
peak21,27.789,27.789,0.924,3968002
peak22,22.070,27.782,0.923,1967772
peak23,22.322,27.784,0.924,2441670
peak24,22.489,27.789,0.922,2047056
peak25,18.807,27.785,0.924,1209429
peak26,23.509,27.786,0.929,821384
peak27,23.962,27.789,0.924,2147958
peak28,24.796,27.783,0.925,595309
peak29,22.418,27.789,0.924,2467106
peak30,23.858,23.858,1.455,7666592
peak31,25.414,23.855,1.452,4449156
peak32,25.949,23.855,1.452,5119522
peak33,25.094,23.858,1.455,5143397
peak34,25.817,23.856,1.457,9194042
peak35,24.473,23.856,1.458,969910
peak36,19.394,23.857,1.455,476443
peak37,19.217,23.858,1.453,865104
peak38,20.383,20.383,-0.906,3409086
peak39,20.609,20.382,-0.905,1054498
peak40,19.394,19.394,-0.301,10642515
peak41,25.954,19.393,-0.300,2435610
peak42,23.858,19.393,-0.301,1286800
peak43,24.473,19.394,-0.300,1340992
peak44,19.217,19.394,-0.301,11426376
peak45,21.008,19.395,-0.304,2018952
peak46,18.401,19.395,-0.306,1933969
peak47,19.217,19.217,-0.060,15854851
peak48,25.954,19.213,-0.061,3124776
peak49,24.049,19.213,-0.060,1340180
peak50,23.858,19.217,-0.063,544412
peak51,24.473,19.215,-0.060,1446056
peak52,19.394,19.217,-0.060,7633728
peak53,21.178,19.217,-0.065,1309394
peak54,21.008,19.218,-0.064,3090194
peak55,20.681,19.220,-0.065,4521828
peak56,18.401,19.217,-0.060,2199344
peak57,17.057,17.057,-0.077,5678749
peak58,25.949,17.057,-0.073,865546
peak59,25.094,17.055,-0.073,947297
peak60,25.817,17.055,-0.077,571471
peak61,21.011,17.057,-0.075,5021240
peak62,17.301,17.302,0.040,34753880
peak63,18.401,18.401,0.242,10579126
peak64,22.604,18.401,0.242,3056930
peak65,25.954,18.403,0.238,4104382
peak66,24.049,18.405,0.242,2401173
peak67,19.394,18.401,0.244,2782511
peak68,19.217,18.406,0.241,3720246
peak69,21.178,18.401,0.242,2721240
peak70,21.008,18.403,0.242,3895962
peak71,20.681,18.401,0.243,6943046
peak72,24.049,24.049,0.542,35642280
peak73,22.604,24.044,0.548,1783250
peak74,25.954,24.049,0.544,12920758
peak75,19.217,24.046,0.542,1865164
peak76,20.681,24.044,0.543,2370204
peak77,18.401,24.049,0.542,3293570
peak78,27.244,27.244,0.765,5309042
peak79,20.149,27.243,0.764,700055
peak80,27.603,27.244,0.764,2064225
peak81,27.111,27.243,0.765,6122328
peak82,24.434,27.244,0.767,633452
peak83,23.125,27.244,0.764,695030
peak84,22.832,27.245,0.765,6352266
peak85,25.693,25.693,1.028,46147480
peak86,22.580,25.692,1.022,867030
peak87,23.919,25.690,1.028,13270963
peak88,25.817,25.817,1.015,179396976
peak89,25.949,25.817,1.013,57496612
peak90,25.094,25.815,1.013,36144316
peak91,17.057,25.815,1.015,891402
