label,c1,c2,h2,intensity
peak1,15.115,21.891,0.911,24430300
peak2,12.897,12.893,-0.549,52167820
peak3,15.190,12.888,-0.551,6906253
peak4,21.664,12.906,-0.549,26102630
peak5,22.057,12.905,-0.548,12145889
peak6,23.276,12.906,-0.547,11506862
peak7,23.662,12.907,-0.548,20073950
peak8,26.691,12.902,-0.547,4930942
peak9,25.693,12.894,-0.550,7645361
peak10,25.930,12.913,-0.549,8585441
peak11,12.918,15.142,0.701,6321265
peak12,15.138,15.138,0.701,120929064
peak13,21.631,15.143,0.701,37480224
peak14,21.892,15.143,0.702,35922520
peak15,23.268,15.138,0.701,33564560
peak16,23.639,15.152,0.703,9894993
peak17,24.275,15.140,0.703,6842326
peak18,26.697,15.132,0.700,8624022
peak19,26.178,21.096,0.920,11835092
peak20,24.802,21.100,0.924,7109296
peak21,24.258,21.085,0.918,26079902
peak22,21.893,21.091,0.913,5060539
peak23,21.525,21.103,0.912,11987009
peak24,21.099,21.112,0.917,72032216
peak25,20.803,21.109,0.917,18442344
peak26,26.189,24.251,0.980,6453789
peak27,24.786,24.247,0.977,7444190
peak28,24.265,24.260,0.975,49518176
peak29,21.892,24.254,0.975,15929701
peak30,21.564,24.265,0.975,30215456
peak31,21.082,24.258,0.974,28326826
peak32,20.714,24.244,0.974,7391836
peak33,19.904,19.910,1.693,43834076
peak34,13.669,20.722,-0.582,2426448
peak35,26.193,20.730,-0.580,33933536
peak36,24.834,20.730,-0.579,7324159
peak37,24.267,20.723,-0.578,6224407
peak38,21.047,20.731,-0.580,22493106
peak39,20.726,20.730,-0.580,66238044
peak40,13.698,26.181,0.013,5909818
peak41,22.545,26.172,0.017,4388050
peak42,21.488,26.206,0.018,5030864
peak43,21.056,26.196,0.017,9782170
peak44,20.731,26.198,0.016,22689506
peak45,26.193,26.198,0.016,52437076
peak46,24.833,26.191,0.016,10679851
peak47,24.273,26.206,0.015,3750318
peak48,22.540,20.738,-0.578,1826679
peak49,25.922,23.649,0.748,8681807
peak50,25.714,23.644,0.747,8619340
peak51,23.662,23.660,0.747,90725888
peak52,23.293,23.659,0.748,20740856
peak53,22.066,23.657,0.746,38769672
peak54,21.655,23.657,0.747,29117018
peak55,15.182,23.638,0.748,9847388
peak56,12.908,23.663,0.745,17489490
peak57,12.889,21.579,0.237,3419978
peak58,15.167,21.583,0.240,2677383
peak59,21.616,21.590,0.237,93645904
peak60,22.047,21.584,0.238,19343996
peak61,22.537,21.594,0.237,7799475
peak62,23.266,21.587,0.238,16011309
peak63,23.645,21.576,0.239,6622501
peak64,24.267,21.581,0.238,2954715
peak65,24.821,21.597,0.238,9794653
peak66,26.168,21.588,0.238,9477109
peak67,25.678,21.578,0.238,5825244
peak68,25.646,21.734,0.490,8381942
peak69,25.937,21.737,0.492,11813746
peak70,24.829,21.746,0.486,3510903
peak71,24.226,12.886,-0.551,2512866
peak72,24.258,21.728,0.491,2393088
peak73,23.658,21.739,0.490,10200331
peak74,23.274,21.738,0.490,17066812
peak75,22.045,21.737,0.490,24271888
peak76,21.674,21.737,0.490,88286104
peak77,15.189,21.738,0.488,4539112
peak78,12.913,21.736,0.488,8276948
peak79,24.252,21.582,1.033,25424748
peak80,23.264,21.597,1.038,5162644
peak81,21.928,21.547,1.030,50724528
peak82,21.521,21.516,1.030,312161664
peak83,15.165,21.582,1.033,9533414
peak84,25.928,22.092,0.915,15475629
peak85,25.685,22.087,0.916,13521858
peak86,23.663,22.075,0.915,33702960
peak87,23.240,22.109,0.914,19342152
peak88,22.053,22.047,0.914,142814640
peak89,21.615,22.078,0.914,48498560
peak90,15.115,22.078,0.914,10100532
peak91,12.928,22.058,0.912,10224900
peak92,13.700,24.841,0.743,10553982
peak93,26.201,24.839,0.743,70233192
peak94,24.827,24.839,0.743,157565040
peak95,24.261,24.835,0.743,14393071
peak96,22.534,24.839,0.741,22836104
peak97,21.511,24.842,0.741,29705294
peak98,20.741,24.842,0.744,9210506
peak99,21.058,24.851,0.742,11811739
peak100,13.707,26.213,0.722,11482596
peak101,26.212,26.222,0.720,142569936
peak102,24.825,26.226,0.720,40076624
peak103,24.221,26.224,0.718,4240807
peak104,22.555,26.221,0.720,37122712
peak105,21.459,26.227,0.721,33673976
peak106,20.737,26.258,0.724,6201888
peak107,12.900,26.102,0.589,27921822
peak108,22.407,26.104,0.589,55889788
peak109,21.632,26.092,0.588,6142722
peak110,24.206,26.104,0.589,9762538
peak111,26.094,26.102,0.589,146980080
peak112,12.902,22.401,0.383,8245318
peak113,13.715,22.385,0.383,5403794
peak114,22.406,22.402,0.384,121953016
peak115,21.528,22.404,0.383,5653166
peak116,24.235,22.393,0.386,4442202
peak117,24.825,22.391,0.387,5184729
peak118,26.099,22.402,0.384,53201540
peak119,13.696,13.704,0.827,93483320
peak120,26.188,13.708,0.828,28328170
peak121,24.823,13.703,0.827,10349366
peak122,22.512,13.697,0.827,14646789
peak123,21.454,13.701,0.827,14768125
peak124,26.208,22.559,1.089,31950114
peak125,24.825,22.558,1.090,12080302
peak126,22.558,22.561,1.089,237243136
peak127,21.450,22.562,1.088,73026184
peak128,13.705,22.575,1.089,7586506
peak129,13.691,21.445,1.018,10654747
peak130,26.204,21.458,1.020,31484012
peak131,24.829,21.447,1.020,11367010
peak132,22.556,21.453,1.019,84901616
peak133,21.396,21.453,1.020,259875264
peak134,25.910,25.903,0.871,96393768
peak135,24.257,25.905,0.871,20296862
peak136,25.909,24.248,1.076,32221390
peak137,24.261,24.260,1.075,31582556
peak138,12.870,25.955,1.053,5184816
peak139,25.932,25.942,1.057,232633040
peak140,24.258,25.935,1.057,15090017
peak141,23.665,25.951,1.061,9267320
peak142,22.066,25.953,1.058,10598842
peak143,21.675,25.944,1.057,13101534
peak144,25.677,25.670,0.982,328001568
peak145,24.269,25.663,0.984,15693799
peak146,23.630,25.693,0.981,7460737
peak147,21.677,25.681,0.982,13571047
peak148,22.080,25.689,0.983,11568301
peak149,12.919,25.664,0.981,5376362
peak150,25.953,23.950,1.044,22548938
peak151,23.941,23.933,1.041,30200386
peak152,25.950,25.961,0.776,107300048
peak153,23.936,25.968,0.775,20452280
peak154,26.101,24.235,1.192,10196327
peak155,24.205,24.207,1.192,33101498
peak156,12.895,24.210,1.191,4851122
peak157,26.701,21.652,0.588,10006556
peak158,23.648,21.638,0.588,13973154
peak159,23.275,21.640,0.587,31946544
peak160,22.028,21.653,0.587,12875866
peak161,21.654,21.646,0.587,56462068
peak162,15.147,21.648,0.589,11965074
peak163,12.919,21.644,0.588,13845935
peak164,26.686,23.254,0.797,5824129
peak165,23.637,23.267,0.796,17800738
peak166,23.267,23.263,0.796,74634808
peak167,21.645,23.263,0.796,60228420
peak168,22.053,23.266,0.796,24065988
peak169,15.158,23.262,0.796,20704574
