label,c1,c2,h2,short_range,intensity
peak1,15.115000,21.891001,0.911000,x,24430300.000000
peak3,15.190000,12.888000,-0.551000,,6906253.000000
peak4,21.664000,12.906000,-0.549000,x,26102630.000000
peak5,22.056999,12.905000,-0.548000,x,12145889.000000
peak6,23.275999,12.906000,-0.547000,,11506862.000000
peak7,23.662001,12.907000,-0.548000,x,20073950.000000
peak8,26.691000,12.902000,-0.547000,,4930942.000000
peak9,25.693001,12.894000,-0.550000,,7645361.000000
peak10,25.930000,12.913000,-0.549000,,8585441.000000
peak11,12.918000,15.142000,0.701000,,6321265.000000
peak13,21.631001,15.143000,0.701000,x,37480224.000000
peak14,21.892000,15.143000,0.702000,x,35922520.000000
peak15,23.268000,15.138000,0.701000,x,33564560.000000
peak16,23.639000,15.152000,0.703000,,9894993.000000
peak17,24.275000,15.140000,0.703000,,6842326.000000
peak18,26.697001,15.132000,0.700000,x,8624022.000000
peak19,26.177999,21.096001,0.920000,x,11835092.000000
peak20,24.802000,21.100000,0.924000,,7109296.000000
peak21,24.257999,21.084999,0.918000,x,26079902.000000
peak22,21.893000,21.091000,0.913000,,5060539.000000
peak23,21.525000,21.103001,0.912000,,11987009.000000
peak25,20.802999,21.108999,0.917000,,18442344.000000
peak26,26.188999,24.250999,0.980000,,6453789.000000
peak27,24.785999,24.247000,0.977000,,7444190.000000
peak29,21.892000,24.254000,0.975000,,15929701.000000
peak30,21.563999,24.264999,0.975000,,30215456.000000
peak31,21.082001,24.257999,0.974000,x,28326826.000000
peak32,20.714001,24.243999,0.974000,,7391836.000000
peak34,13.669000,20.722000,-0.582000,,2426448.000000
peak35,26.193001,20.730000,-0.580000,x,33933536.000000
peak36,24.834000,20.730000,-0.579000,,7324159.000000
peak37,24.267000,20.723000,-0.578000,,6224407.000000
peak38,21.047001,20.731001,-0.580000,,22493106.000000
peak40,13.698000,26.181000,0.013000,x,5909818.000000
peak41,22.545000,26.172001,0.017000,,4388050.000000
peak42,21.488001,26.205999,0.018000,,5030864.000000
peak43,21.056000,26.195999,0.017000,x,9782170.000000
peak44,20.731001,26.198000,0.016000,x,22689506.000000
peak46,24.833000,26.191000,0.016000,x,10679851.000000
peak47,24.273001,26.205999,0.015000,,3750318.000000
peak48,22.540001,20.738001,-0.578000,,1826679.000000
peak49,25.922001,23.649000,0.748000,,8681807.000000
peak50,25.714001,23.643999,0.747000,,8619340.000000
peak52,23.292999,23.659000,0.748000,,20740856.000000
peak53,22.066000,23.657000,0.746000,x,38769672.000000
peak54,21.655001,23.657000,0.747000,x,29117018.000000
peak55,15.182000,23.638000,0.748000,,9847388.000000
peak56,12.908000,23.663000,0.745000,x,17489490.000000
peak57,12.889000,21.579000,0.237000,,3419978.000000
peak58,15.167000,21.583000,0.240000,,2677383.000000
peak60,22.047001,21.584000,0.238000,,19343996.000000
peak61,22.537001,21.594000,0.237000,,7799475.000000
peak62,23.266001,21.587000,0.238000,x,16011309.000000
peak63,23.645000,21.576000,0.239000,,6622501.000000
peak64,24.267000,21.580999,0.238000,,2954715.000000
peak65,24.820999,21.597000,0.238000,x,9794653.000000
peak66,26.167999,21.587999,0.238000,,9477109.000000
peak67,25.677999,21.577999,0.238000,,5825244.000000
peak68,25.646000,21.733999,0.490000,x,8381942.000000
peak69,25.937000,21.737000,0.492000,x,11813746.000000
peak70,24.829000,21.746000,0.486000,,3510903.000000
peak71,24.226000,12.886000,-0.551000,,2512866.000000
peak72,24.257999,21.728001,0.491000,,2393088.000000
peak73,23.658001,21.739000,0.490000,x,10200331.000000
peak74,23.274000,21.738001,0.490000,x,17066812.000000
peak75,22.045000,21.737000,0.490000,,24271888.000000
peak77,15.189000,21.738001,0.488000,,4539112.000000
peak78,12.913000,21.736000,0.488000,x,8276948.000000
peak79,24.252001,21.582001,1.033000,,25424748.000000
peak80,23.264000,21.597000,1.038000,,5162644.000000
peak81,21.927999,21.547001,1.030000,x,50724528.000000
peak83,15.165000,21.582001,1.033000,,9533414.000000
peak84,25.927999,22.091999,0.915000,x,15475629.000000
peak85,25.684999,22.087000,0.916000,,13521858.000000
peak86,23.663000,22.075001,0.915000,x,33702960.000000
peak87,23.240000,22.108999,0.914000,x,19342152.000000
peak89,21.615000,22.077999,0.914000,,48498560.000000
peak90,15.115000,22.077999,0.914000,,10100532.000000
peak91,12.928000,22.058001,0.912000,x,10224900.000000
peak92,13.700000,24.841000,0.743000,,10553982.000000
peak93,26.201000,24.839001,0.743000,x,70233192.000000
peak95,24.261000,24.834999,0.743000,,14393071.000000
peak96,22.534000,24.839001,0.741000,x,22836104.000000
peak97,21.511000,24.841999,0.741000,x,29705294.000000
peak98,20.740999,24.841999,0.744000,,9210506.000000
peak99,21.058001,24.851000,0.742000,,11811739.000000
peak100,13.707000,26.212999,0.722000,x,11482596.000000
peak102,24.825001,26.226000,0.720000,x,40076624.000000
peak103,24.221001,26.224001,0.718000,,4240807.000000
peak104,22.555000,26.221001,0.720000,x,37122712.000000
peak105,21.459000,26.226999,0.721000,x,33673976.000000
peak106,20.737000,26.257999,0.724000,,6201888.000000
peak107,12.900000,26.101999,0.589000,x,27921822.000000
peak108,22.407000,26.104000,0.589000,x,55889788.000000
peak109,21.632000,26.091999,0.588000,,6142722.000000
peak110,24.205999,26.104000,0.589000,x,9762538.000000
peak112,12.902000,22.400999,0.383000,,8245318.000000
peak113,13.715000,22.385000,0.383000,,5403794.000000
peak115,21.528000,22.403999,0.383000,,5653166.000000
peak116,24.235001,22.393000,0.386000,,4442202.000000
peak117,24.825001,22.391001,0.387000,,5184729.000000
peak118,26.099001,22.402000,0.384000,x,53201540.000000
