label,c1,c2,h2,intensity
peak1,21.203,21.941,0.913,8927162
peak2,12.741,12.741,0.738,335972480
peak3,12.899,12.901,-0.548,326567968
peak4,15.184,12.902,-0.549,2438794
peak5,25.741,12.905,-0.547,2519703
peak6,23.661,12.905,-0.548,18381902
peak7,23.292,12.934,-0.549,2942676
peak8,22.053,12.903,-0.548,6864328
peak9,21.659,12.905,-0.548,23141160
peak10,15.138,15.138,0.701,752969344
peak11,21.893,15.144,0.701,23465556
peak12,21.638,15.156,0.701,15725771
peak13,23.261,15.143,0.702,20569946
peak14,26.669,15.133,0.700,3512906
peak15,24.260,21.083,0.917,28136434
peak16,26.189,21.070,0.918,5335992
peak17,24.261,24.261,0.975,521535040
peak18,21.569,24.261,0.975,22603176
peak19,21.071,24.259,0.975,29270564
peak20,19.900,19.911,1.693,262057056
peak21,20.722,20.731,-0.580,443277184
peak22,26.188,20.731,-0.580,31141150
peak23,21.044,26.173,0.015,6652960
peak24,20.723,26.193,0.015,22003644
peak25,13.703,26.177,0.014,2974281
peak26,24.828,26.197,0.016,9086779
peak27,26.186,26.194,0.015,440223488
peak28,12.915,23.651,0.746,13733284
peak29,23.659,23.657,0.747,621055424
peak30,22.070,23.655,0.747,29087962
peak31,21.666,23.653,0.747,17741536
peak32,24.820,21.593,0.236,4397024
peak33,23.261,21.584,0.238,11529537
peak34,21.580,21.588,0.237,505519392
peak35,12.904,21.731,0.490,4040120
peak36,25.684,21.745,0.490,5197931
peak37,25.926,21.736,0.490,5765948
peak38,23.653,21.735,0.491,6375172
peak39,23.258,21.732,0.490,12994863
peak40,21.721,21.735,0.489,408432960
peak41,21.849,21.547,1.030,88625040
peak42,21.537,21.547,1.030,1267481472
peak43,23.657,22.084,0.914,26845314
peak44,23.259,22.078,0.915,14002876
peak45,22.037,22.078,0.914,975740224
peak46,12.922,22.087,0.914,4481022
peak47,25.942,22.110,0.916,4690716
peak48,26.203,24.839,0.742,47418124
peak49,24.825,24.837,0.742,872182656
peak50,22.554,24.848,0.742,6953300
peak51,21.542,24.838,0.743,9377481
peak52,21.107,24.879,0.741,3900794
peak53,20.730,24.842,0.743,3671157
peak54,26.211,26.224,0.720,881646336
peak55,24.828,26.225,0.720,27937524
peak56,22.555,26.224,0.721,26723638
peak57,21.454,26.226,0.720,17307900
peak58,13.643,26.226,0.719,3577789
peak59,26.089,26.100,0.589,882617280
peak60,24.231,26.107,0.588,6490640
peak61,22.408,26.099,0.588,44570128
peak62,12.897,26.108,0.589,10473277
peak63,22.405,22.402,0.384,846240192
peak64,26.088,22.403,0.384,39202248
peak65,13.696,13.704,0.827,497147200
peak66,21.435,13.716,0.828,4316144
peak67,22.531,13.728,0.825,3383390
peak68,26.191,13.717,0.827,12280989
peak69,26.209,22.566,1.088,17811264
peak70,24.827,22.545,1.090,3097317
peak71,22.556,22.563,1.089,1571878912
peak72,21.445,22.564,1.088,51426480
peak73,26.203,21.456,1.019,12685714
peak74,22.554,21.455,1.019,57666800
peak75,21.412,21.422,1.020,1443197952
peak76,25.906,25.904,0.870,405129504
peak77,24.270,25.903,0.869,17035628
peak78,25.910,24.261,1.075,20802138
peak79,24.258,24.260,1.076,208859440
peak80,25.933,25.942,1.057,1235347712
peak81,24.267,25.947,1.056,10753489
peak82,21.681,25.945,1.057,5977946
peak83,22.094,25.949,1.056,4870150
peak84,25.670,25.670,0.982,1349819904
peak85,24.257,25.672,0.982,9141034
peak86,21.694,25.661,0.983,5804575
peak87,22.078,25.649,0.980,5373068
peak88,25.934,23.956,1.044,17631108
peak89,23.934,23.941,1.042,193638576
peak90,25.948,25.960,0.776,539353152
peak91,23.934,25.953,0.777,14613159
peak92,26.093,24.213,1.191,5180058
peak93,24.203,24.199,1.191,199750832
peak94,26.690,21.637,0.587,10399259
peak95,23.635,21.648,0.588,10556109
peak96,23.263,21.641,0.587,33721716
peak97,21.645,21.642,0.587,485699424
peak98,15.164,21.668,0.589,6475369
peak99,12.912,21.639,0.587,12700219
peak100,23.262,23.262,0.796,579677888
peak101,22.042,23.262,0.797,19122720
peak102,21.645,23.262,0.796,59649944
peak103,15.151,23.259,0.795,16024958
peak104,20.775,20.775,0.860,863986176
peak105,19.704,20.769,0.860,27448332
peak106,20.785,19.700,0.575,12484415
peak107,19.694,19.702,0.577,98433520
peak108,26.681,26.687,0.949,398910496
peak109,23.282,26.685,0.949,29064394
peak110,21.643,26.685,0.949,8891834
peak111,15.146,26.697,0.946,3313167
peak112,26.682,23.280,0.960,30508720
peak113,23.282,23.278,0.960,894285120
peak114,26.097,12.895,0.721,17017338
peak115,22.363,12.898,0.718,3258262
peak116,12.882,12.883,0.721,2319913472
peak117,15.150,21.910,0.910,17433962
peak118,21.881,21.891,0.911,706210560
peak119,21.568,21.922,0.911,83086024
peak120,21.075,21.075,0.917,610834112
