label,c1,c2,h2,intensity
peak1,26.618,10.572,1.035,6.59E+06
peak2,25.581,10.586,1.034,7.92E+06
peak3,18.475,14.091,0.989,6.16E+06
peak4,22.628,14.095,0.991,1.01E+07
peak5,27.005,14.055,0.991,5.97E+06
peak6,24.208,14.205,0.277,8.44E+06
peak7,22.734,15.614,0.720,7.89E+06
peak8,23.651,18.400,0.299,7.16E+06
peak9,22.653,18.398,0.299,2.06E+07
peak10,22.656,17.969,0.299,1.41E+07
peak11,14.041,18.394,0.299,2.63E+06
peak12,26.965,18.409,0.296,2.70E+06
peak13,17.935,22.656,0.620,1.14E+07
peak14,15.600,22.656,0.621,3.99E+06
peak15,17.944,17.947,0.299,2.30E+08
peak16,18.406,22.637,1.013,1.30E+07
peak17,26.530,22.651,1.016,4.25E+06
peak18,23.159,19.054,0.826,1.13E+07
peak19,19.044,23.148,1.041,1.51E+07
peak20,22.504,20.747,0.829,2.09E+07
peak21,20.738,22.480,1.038,1.51E+07
peak22,25.545,22.474,1.040,5.04E+06
peak23,21.528,21.241,0.881,6.29E+07
peak24,21.213,21.544,0.816,4.13E+07
peak25,22.905,21.093,0.670,1.49E+07
peak26,21.101,22.906,0.917,1.70E+07
peak27,21.389,23.132,1.079,1.89E+07
peak28,23.128,21.392,1.260,1.25E+07
peak29,22.908,23.501,1.440,1.35E+07
peak30,23.532,22.895,1.072,1.57E+07
peak31,27.154,21.196,0.742,1.07E+07
peak32,21.207,27.149,0.780,1.18E+07
peak33,26.476,21.280,0.112,9.15E+06
peak34,21.275,26.479,0.367,9.21E+06
peak35,25.712,22.948,0.268,9.49E+06
peak36,22.922,25.704,-0.351,8.58E+06
peak37,25.428,22.718,0.563,1.27E+07
peak38,22.695,25.421,0.533,8.18E+06
peak39,22.959,25.252,0.232,1.71E+07
peak40,25.260,22.972,0.653,1.65E+07
peak41,25.059,22.625,0.806,1.25E+07
peak42,23.766,22.686,0.805,6.14E+06
peak43,23.870,25.071,0.172,5.48E+06
peak44,22.640,25.066,0.172,1.46E+07
peak45,22.656,26.920,0.900,9.62E+06
peak46,26.923,22.649,0.878,8.95E+06
peak47,25.618,23.680,0.911,2.51E+07
peak48,23.677,25.617,0.880,2.25E+07
peak49,25.565,23.395,0.852,2.56E+07
peak50,23.371,25.558,0.825,2.19E+07
peak51,21.244,25.563,0.824,5.59E+06
peak52,26.614,23.792,1.108,1.04E+07
peak53,22.658,23.799,1.107,6.20E+06
peak54,25.567,26.601,0.929,7.73E+06
peak55,23.767,26.639,0.932,9.08E+06
peak56,21.207,26.620,0.929,6.59E+06
peak57,25.646,23.628,0.831,1.76E+07
peak58,23.652,25.685,0.961,1.59E+07
peak59,18.412,23.650,0.831,8.65E+06
peak60,24.228,25.614,0.733,9.20E+06
peak61,23.574,25.606,0.733,1.45E+07
peak62,25.606,23.582,0.791,1.59E+07
peak63,27.498,23.823,0.795,1.14E+07
peak64,23.879,27.496,0.698,9.34E+06
peak65,24.213,26.532,1.050,1.58E+07
peak66,22.642,26.521,1.050,7.99E+06
peak67,26.531,24.229,0.946,1.95E+07
peak68,25.616,24.230,0.947,9.27E+06
peak69,14.179,24.217,0.946,7.26E+06
peak70,27.441,24.808,0.975,1.07E+07
peak71,24.821,27.437,1.016,7.10E+06
