label,c1,c2,h2,short_range,intensity
peak2,27.132000,27.914000,1.055000,x,3880000.000000
peak3,24.875000,27.936001,1.053000,x,5790000.000000
peak4,24.193001,27.930000,1.053000,x,7120000.000000
peak5,27.938999,24.183001,0.987000,x,7020000.000000
peak6,27.155001,24.215000,0.987000,x,7520000.000000
peak7,25.788000,24.197001,0.986000,x,18300000.000000
peak8,22.690001,24.134001,0.991000,x,12300000.000000
peak9,10.072000,24.216000,0.987000,x,4890000.000000
peak10,27.214001,22.544001,0.832000,,3210000.000000
peak11,26.107000,22.517000,0.834000,x,28500000.000000
peak13,22.525000,26.103001,0.825000,x,24400000.000000
peak14,27.207001,26.091000,0.825000,x,6670000.000000
peak17,26.117001,27.209999,0.869000,x,6980000.000000
peak18,24.198000,27.194000,0.868000,x,5750000.000000
peak19,23.764000,27.201000,0.867000,x,10100000.000000
peak20,22.524000,27.202999,0.867000,,3710000.000000
peak21,13.763000,27.195000,0.867000,,1890000.000000
peak22,10.068000,27.230000,0.869000,,2070000.000000
peak23,10.088000,23.754000,0.925000,,2060000.000000
peak24,13.764000,23.732000,0.921000,,2280000.000000
peak25,27.187000,23.754999,0.921000,x,14000000.000000
peak26,26.139000,23.707001,0.918000,x,7210000.000000
peak27,22.506001,25.406000,0.258000,x,9100000.000000
peak28,24.150999,25.377001,0.258000,,4720000.000000
peak29,24.862000,25.386999,0.257000,x,7210000.000000
peak31,25.424000,22.496000,0.101000,x,12900000.000000
peak32,24.861000,22.455000,0.101000,,3000000.000000
peak34,13.744000,25.471001,0.256000,,2190000.000000
peak35,25.441999,24.125000,0.991000,,7510000.000000
peak36,25.860001,10.182000,0.681000,,9710000.000000
peak37,25.629000,10.186000,0.681000,x,12000000.000000
peak38,23.983999,10.207000,0.681000,,5110000.000000
peak39,23.198000,10.136000,0.681000,,3770000.000000
peak40,22.149000,10.185000,0.682000,x,5800000.000000
peak41,13.798000,10.176000,0.681000,x,10600000.000000
peak43,25.475000,22.162001,0.707000,x,11700000.000000
peak45,10.164000,22.121000,0.706000,x,3850000.000000
peak47,27.789000,14.296000,0.690000,x,5180000.000000
peak48,26.546000,21.062000,0.929000,,3010000.000000
peak49,23.921000,21.059000,0.932000,x,8080000.000000
peak50,22.815001,21.032000,0.933000,x,20100000.000000
peak52,22.993000,25.598000,0.981000,x,5890000.000000
peak53,22.128000,25.555000,0.979000,x,19000000.000000
peak54,22.996000,22.164000,0.994000,,5390000.000000
peak55,22.826000,22.135000,0.994000,x,6600000.000000
peak57,25.570999,22.124001,0.993000,x,18100000.000000
peak59,14.092000,26.555000,0.914000,x,8430000.000000
peak60,23.917999,26.551001,0.914000,x,15000000.000000
peak62,21.048000,23.905001,0.989000,x,7980000.000000
peak63,26.546000,23.905001,0.989000,x,16300000.000000
peak65,21.044001,26.518000,0.914000,,3670000.000000
peak67,26.044001,26.547001,0.958000,x,24500000.000000
peak68,26.573000,13.768000,0.764000,x,15600000.000000
peak69,13.765000,26.563000,0.958000,x,9350000.000000
peak70,26.573999,26.025000,1.033000,x,24200000.000000
peak72,13.766000,26.084000,1.034000,x,4720000.000000
peak73,14.090000,26.024000,1.034000,,2860000.000000
peak74,27.198999,10.051000,0.251000,,3200000.000000
peak75,26.120001,10.103000,0.251000,,2800000.000000
peak76,25.794001,10.034000,0.251000,,3850000.000000
peak77,24.225000,10.051000,0.251000,x,7260000.000000
peak78,23.761999,10.065000,0.251000,,3180000.000000
peak81,27.778999,14.678000,0.680000,,3290000.000000
peak82,23.993999,14.669000,0.681000,x,10900000.000000
peak83,23.577999,14.681000,0.681000,,5440000.000000
peak84,22.962999,14.662000,0.682000,x,12700000.000000
peak85,25.629000,14.724000,0.683000,,3970000.000000
peak86,26.745001,21.764000,0.704000,x,8020000.000000
peak88,13.801000,21.796000,0.704000,x,6480000.000000
peak90,26.110001,26.789000,0.784000,,4290000.000000
peak91,21.767000,26.742001,0.783000,x,6490000.000000
peak92,14.081000,26.768999,0.781000,,2200000.000000
peak93,13.763000,26.709999,0.786000,,2230000.000000
peak94,26.179001,23.587999,0.628000,,3660000.000000
peak96,22.980000,23.562000,0.628000,x,12400000.000000
peak97,23.555000,23.010000,0.952000,,15600000.000000
peak98,23.398001,26.150999,0.975000,x,26400000.000000
peak99,22.983999,26.153999,0.976000,,4240000.000000
peak102,26.167999,23.393999,0.941000,x,21400000.000000
peak104,26.142000,13.567000,0.720000,,3540000.000000
peak105,24.819000,13.597000,0.720000,x,5770000.000000
peak106,24.132000,13.588000,0.717000,,3250000.000000
peak107,22.708000,13.610000,0.720000,,3730000.000000
peak108,25.128000,22.680000,1.142000,,6230000.000000
peak110,21.188000,22.711000,1.140000,x,52500000.000000
peak111,25.127001,21.177000,0.982000,,3170000.000000
peak112,22.730000,21.167000,0.982000,x,37600000.000000
peak114,23.237000,25.120001,0.864000,x,38200000.000000
peak115,22.719000,25.091000,0.865000,,5560000.000000
peak116,21.197001,25.132000,0.862000,,3160000.000000
peak118,24.216999,25.777000,1.044000,x,18900000.000000
peak120,27.173000,25.792000,1.045000,,4570000.000000
peak121,21.047001,22.816000,0.959000,x,22500000.000000
peak123,23.941000,22.844999,0.957000,,11300000.000000
peak124,26.052999,13.772000,0.764000,x,10700000.000000
peak125,25.252001,13.808000,0.751000,x,4640000.000000
peak126,24.820999,13.782000,0.750000,x,8180000.000000
peak127,21.781000,13.827000,0.751000,x,4660000.000000
peak129,26.555000,14.081000,0.736000,x,13400000.000000
peak130,26.051001,14.069000,0.736000,,4600000.000000
peak131,23.909000,14.060000,0.734000,x,5120000.000000
peak133,25.483999,13.776000,0.641000,x,4830000.000000
peak134,24.815001,13.781000,0.642000,x,7420000.000000
peak135,22.149000,13.785000,0.642000,x,3890000.000000
peak136,21.761000,13.772000,0.641000,x,6180000.000000
peak137,10.184000,13.771000,0.643000,x,5880000.000000
peak139,24.823000,26.139999,0.883000,x,9190000.000000
peak141,24.127001,22.688000,0.883000,x,11000000.000000
peak142,25.351000,23.010000,1.015000,x,22600000.000000
peak144,22.129999,22.999001,1.015000,,5200000.000000
peak145,25.587000,23.033001,1.015000,,8280000.000000
peak146,26.750000,26.141001,0.883000,,3850000.000000
peak147,27.134001,26.121000,0.883000,x,4410000.000000
peak148,24.180000,26.113001,0.881000,x,3360000.000000
peak149,23.784000,26.125999,0.883000,x,4740000.000000
peak151,27.931000,22.672001,0.883000,x,3510000.000000
peak152,24.924000,22.723000,0.883000,,4720000.000000
peak154,23.915001,27.756001,0.833000,,4230000.000000
peak155,22.846001,27.795000,0.832000,x,7140000.000000
peak156,14.294000,27.790001,0.828000,x,3530000.000000
peak157,27.823000,23.923000,0.988000,,5250000.000000
peak158,26.721001,25.393999,0.256000,,2090000.000000
peak159,13.782000,25.815001,0.734000,x,3230000.000000
peak160,10.181000,25.840000,0.735000,,4690000.000000
peak161,25.603001,23.983999,0.861000,x,10600000.000000
peak162,14.685000,23.983999,0.863000,x,7500000.000000
peak164,23.995001,25.612000,0.861000,x,11000000.000000
peak165,13.780000,25.600000,0.861000,x,5420000.000000
peak166,10.177000,25.618000,0.864000,x,6480000.000000
peak167,25.620001,13.826000,0.642000,,4350000.000000
peak169,24.811001,25.576000,0.818000,,9780000.000000
peak170,23.908001,25.545000,0.817000,x,30800000.000000
peak171,25.568001,23.903999,0.819000,x,39800000.000000
peak172,25.268000,23.917000,0.819000,,5240000.000000
peak173,24.819000,23.915001,0.820000,,5110000.000000
peak176,24.174999,27.090000,0.772000,x,13900000.000000
peak177,23.773001,27.094000,0.771000,x,3600000.000000
peak178,25.875000,23.195000,0.724000,x,11600000.000000
peak179,23.947001,23.166000,0.725000,,4350000.000000
peak181,23.200001,25.862000,0.735000,x,10300000.000000
peak183,25.122999,23.228001,0.865000,x,45300000.000000
peak186,23.983999,25.819000,0.737000,,3600000.000000
peak187,10.060000,25.792999,1.044000,,2850000.000000
peak188,23.780001,25.823000,1.045000,,3110000.000000
peak189,13.793000,22.136999,0.706000,x,1860000.000000
peak190,13.812000,25.238001,0.842000,x,4380000.000000
peak192,24.813000,25.237000,0.843000,x,27900000.000000
peak193,13.805000,24.799000,0.911000,x,5050000.000000
peak194,14.339000,14.715000,0.682000,,6980000.000000
peak195,26.722000,14.093000,0.734000,,4080000.000000
peak196,27.934000,24.863001,0.741000,x,7600000.000000
