label,c1,c2,h2,intensity
peak1,22.513,25.417,0.255,6.44E+06
peak2,21.184,22.724,1.138,1.68E+07
peak3,25.131,23.243,0.864,1.32E+07
peak4,22.744,21.176,0.981,1.36E+07
peak5,25.428,22.499,0.099,8.00E+06
peak6,22.810,21.056,0.933,9.60E+06
peak7,24.897,27.947,1.052,4.83E+06
peak8,27.947,24.882,0.739,6.13E+06
peak9,22.741,24.095,0.989,7.85E+06
peak10,25.777,24.232,0.986,1.03E+07
peak11,22.133,25.566,0.975,7.54E+06
peak12,21.185,21.181,0.980,3.94E+08
peak13,21.061,21.066,0.933,2.62E+08
peak14,10.198,10.190,0.680,2.43E+08
peak15,10.075,10.076,0.251,3.12E+08
peak16,13.595,13.597,0.717,2.16E+08
peak17,13.798,13.791,0.642,1.35E+08
peak18,14.098,14.091,0.735,1.40E+08
peak19,14.297,14.295,0.690,2.59E+08
peak20,14.686,14.688,0.682,2.40E+08
peak21,13.774,13.772,0.759,3.00E+08
peak22,25.572,22.129,0.991,6.79E+06
peak23,22.133,22.133,0.991,1.61E+08
peak24,21.766,26.752,0.781,4.60E+06
peak25,26.754,26.756,0.782,1.04E+08
peak26,22.166,22.172,0.705,1.12E+08
peak27,25.505,22.159,0.706,8.85E+06
peak28,21.784,21.775,0.703,1.13E+08
peak29,26.735,21.771,0.703,5.85E+06
peak30,22.531,22.530,0.833,4.64E+08
peak31,26.107,22.535,0.832,1.15E+07
peak32,22.688,22.688,0.880,1.40E+08
peak33,24.168,22.706,0.880,5.88E+06
peak34,22.730,22.722,1.138,3.29E+08
peak35,23.022,23.018,1.012,2.03E+08
peak36,25.363,23.032,1.012,8.52E+06
peak37,23.407,23.410,0.937,3.19E+08
peak38,26.166,23.406,0.938,8.83E+06
peak39,23.243,23.247,0.864,4.09E+08
peak40,25.875,23.187,0.721,6.89E+06
peak41,23.199,23.192,0.722,1.79E+08
peak42,23.572,23.580,0.625,1.57E+08
peak43,22.989,23.560,0.627,1.01E+07
peak44,21.064,22.826,0.957,9.71E+06
peak45,22.862,22.858,0.956,4.00E+08
peak46,23.580,22.878,0.956,6.06E+06
peak47,27.786,22.838,0.956,5.96E+06
peak48,23.773,23.774,0.920,1.85E+08
peak49,27.182,23.770,0.920,1.09E+07
peak50,23.942,23.947,0.987,1.97E+08
peak51,26.556,23.913,0.987,8.77E+06
peak52,24.159,24.165,1.025,1.68E+08
peak53,27.116,24.165,1.026,7.78E+06
peak54,24.949,24.030,0.887,1.73E+07
peak55,24.013,24.015,0.886,6.74E+08
peak56,25.661,23.984,0.860,6.60E+06
peak57,24.003,24.013,0.858,2.19E+08
peak58,23.913,23.918,0.818,5.39E+08
peak59,25.572,23.918,0.817,1.27E+07
peak60,24.378,24.382,0.903,6.16E+08
peak61,24.525,24.379,0.904,2.32E+08
peak62,24.533,24.541,0.927,6.42E+08
peak63,24.386,24.522,0.927,4.31E+08
peak64,24.934,24.940,0.895,7.87E+08
peak65,24.029,24.943,0.894,1.72E+07
peak66,26.138,24.833,0.877,6.77E+06
peak67,24.802,24.825,0.877,1.67E+08
peak68,23.244,25.134,0.863,1.30E+07
