label,c1,c2,h2,short_range,intensity
peak1,21.716000,13.976000,0.319000,,2050884.000000
peak2,14.543000,24.528000,0.463000,x,9808798.000000
peak3,10.252000,24.493000,0.459000,,2375525.000000
peak4,22.527000,24.490999,0.460000,x,6092996.000000
peak5,20.753000,24.455999,0.460000,,1582407.000000
peak6,13.922000,24.497999,0.461000,x,15230573.000000
peak7,22.870001,24.452999,0.460000,,4692414.000000
peak8,23.466000,24.545000,0.462000,,2574347.000000
peak10,24.517000,21.158001,0.900000,,2448306.000000
peak11,14.555000,21.211000,0.908000,,2215569.000000
peak12,20.698999,21.136999,0.906000,,9453215.000000
peak13,19.990000,21.136999,0.906000,,1444003.000000
peak15,24.496000,14.525000,0.360000,x,15548222.000000
peak16,13.319000,14.535000,0.361000,,7164911.000000
peak17,26.146000,14.534000,0.360000,x,30497230.000000
peak18,23.475000,14.532000,0.359000,,6535906.000000
peak19,22.516001,14.534000,0.361000,x,8900509.000000
peak20,20.653000,14.528000,0.360000,x,43820352.000000
peak21,13.917000,14.525000,0.360000,,62386660.000000
peak22,27.198000,14.548000,0.358000,,2752290.000000
peak24,14.548000,13.316000,0.132000,,6264417.000000
peak25,26.143999,13.318000,0.131000,x,32968710.000000
peak26,20.688999,13.320000,0.125000,,1894057.000000
peak27,13.966000,13.370000,0.135000,,4355140.000000
peak28,14.751000,13.370000,0.135000,,2264440.000000
peak29,10.142000,13.296000,0.134000,,1778572.000000
peak30,25.695999,13.316000,0.130000,x,9726206.000000
peak31,27.190001,13.329000,0.127000,,1855282.000000
peak32,22.955000,13.298000,0.130000,,5247324.000000
peak34,14.547000,26.164000,0.660000,x,20594002.000000
peak35,13.307000,26.173000,0.660000,x,31755026.000000
peak36,23.487000,26.188999,0.665000,,2890296.000000
peak37,20.650999,26.172001,0.660000,x,11311827.000000
peak38,25.738001,26.153000,0.660000,,4041066.000000
peak39,27.235001,26.148001,0.664000,x,3777548.000000
peak40,22.209999,26.188999,0.660000,,6072154.000000
peak41,26.134001,23.462999,1.230000,,1430624.000000
peak43,27.226000,23.492001,1.236000,,2180206.000000
peak44,22.211000,23.457001,1.228000,x,15689709.000000
peak46,24.493999,22.516001,0.737000,x,10091534.000000
peak47,14.544000,22.517000,0.737000,x,11142723.000000
peak48,10.271000,22.518000,0.733000,,3814556.000000
peak49,20.698999,22.566999,0.738000,,2746452.000000
peak50,22.924999,22.568001,0.737000,,4633331.000000
peak52,21.131001,20.705000,0.730000,,2086144.000000
peak53,14.546000,20.693001,0.733000,x,33413722.000000
peak54,13.302000,20.702999,0.732000,,3766939.000000
peak55,26.148001,20.693001,0.733000,x,12722184.000000
peak56,22.562000,20.705000,0.730000,,616900.000000
peak57,22.254000,20.705000,0.730000,,1114996.000000
peak59,13.257000,26.051001,1.116000,,1647461.000000
peak60,14.707000,25.993999,1.127000,x,6368668.000000
peak61,25.738001,26.033001,1.116000,,16103241.000000
peak63,21.131001,19.996000,0.893000,,2795863.000000
peak64,14.644000,19.978001,0.893000,,1610623.000000
peak65,20.711000,19.996000,0.893000,,3201179.000000
peak67,24.497999,13.912000,0.732000,x,50628608.000000
peak68,14.506000,13.901000,0.733000,,96997776.000000
peak69,13.347000,13.937000,0.733000,,4181809.000000
peak70,26.167000,13.920000,0.731000,,4996866.000000
peak71,20.655001,13.915000,0.733000,,6255984.000000
peak72,14.751000,13.919000,0.733000,,11690021.000000
