label,c1,c2,h2,intensity
peak1,23.988,23.988,0.759,7354712
peak2,24.485,14.518,0.366,1979306
peak3,24.518,22.505,0.741,1602279
peak4,24.495,13.909,0.732,7274614
peak5,21.086,21.086,0.907,698011072
peak6,14.494,24.528,0.461,1673669
peak7,14.533,14.525,0.362,763656384
peak8,14.550,26.104,0.661,4782908
peak9,14.536,22.501,0.739,1592504
peak10,14.528,20.654,0.731,5524586
peak11,13.316,13.306,0.133,908291200
peak12,13.325,26.101,0.659,11152609
peak13,13.273,25.682,0.897,2133697
peak14,26.118,14.532,0.363,6805628
peak15,26.112,13.310,0.135,9719114
peak16,26.108,26.100,0.660,524333568
peak17,26.118,20.632,0.730,1945756
peak18,26.102,27.205,1.011,3461888
peak19,23.446,23.443,1.228,333169920
peak20,23.444,22.205,0.913,6381050
peak21,10.276,10.285,0.571,1198436224
peak22,10.275,22.891,0.958,2929050
peak23,22.552,24.492,0.459,1546382
peak24,22.543,14.590,0.358,1614968
peak25,22.516,22.506,0.739,340736224
peak26,20.664,14.525,0.362,8014997
peak27,20.660,26.100,0.661,2359207
peak28,20.652,20.664,0.731,430080384
peak29,25.988,25.992,1.117,345189024
peak30,25.987,14.711,0.425,2782342
peak31,19.947,19.951,0.893,647720192
peak32,13.932,24.525,0.459,1816870
peak33,13.933,14.520,0.362,12922126
peak34,13.910,13.898,0.734,472817600
peak35,13.900,14.735,0.426,4315335
peak36,13.925,23.499,0.698,2971604
peak37,14.676,25.975,1.117,1464410
peak38,14.704,14.711,0.422,966454784
peak39,14.761,21.876,0.559,1489826
peak40,20.771,20.764,0.513,384794016
peak41,20.796,21.884,0.564,2062900
peak42,21.860,21.870,0.559,374881952
peak43,12.252,12.251,0.196,893622656
peak44,12.258,14.033,0.924,11256604
peak45,24.988,24.995,0.465,742115904
peak46,24.972,24.006,1.076,3333802
peak47,24.985,25.811,0.668,5310730
peak48,19.462,19.472,1.347,188703152
peak49,19.449,24.125,0.972,3955528
peak50,24.125,12.254,0.197,1001103
peak51,24.120,19.475,1.348,4495506
peak52,24.129,24.124,0.972,361956064
peak53,14.793,14.785,0.841,2016271616
peak54,10.154,10.157,0.629,864965312
peak55,10.153,23.499,0.698,2869231
peak56,10.161,27.213,1.012,7348600
peak57,10.165,23.998,1.075,6904736
peak58,21.121,21.128,0.661,306093376
peak59,21.117,22.728,0.987,1330534
peak60,21.129,17.163,1.718,2687307
peak61,23.510,23.515,0.779,365543264
peak62,24.677,24.688,0.593,406340736
peak63,24.678,23.899,0.655,2306206
peak64,13.855,13.862,0.474,807368896
peak65,13.860,21.731,0.631,2749412
peak66,23.029,23.039,0.856,610705024
peak67,26.806,26.801,0.946,586827264
peak68,26.816,24.375,0.890,3509602
peak69,26.808,17.166,1.844,4654638
peak70,12.565,12.558,0.581,1249101952
peak71,12.572,27.664,0.961,7856720
peak72,12.566,17.171,1.843,21360656
peak73,24.387,26.808,0.948,4473250
peak74,24.422,12.555,0.581,1988044
peak75,24.374,24.383,0.890,610290944
peak76,24.371,17.174,1.844,6656360
peak77,22.882,22.882,0.779,678421888
peak78,27.648,12.561,0.582,14013198
peak79,27.647,27.656,0.961,350524288
peak80,27.645,23.391,0.798,654256
peak81,27.662,17.002,2.018,6227308
peak82,27.635,17.169,1.845,2198419
peak83,27.658,11.979,0.102,6517109
peak84,17.561,17.569,2.022,1584308992
peak85,17.592,13.145,0.874,1554305
peak86,23.735,23.730,0.179,478729536
peak87,23.744,24.872,-0.312,2113999
peak88,23.744,25.471,0.849,3862234
peak89,23.744,14.185,0.738,4958156
peak90,23.738,17.007,2.020,7280085
peak91,24.869,24.866,-0.313,516992064
peak92,24.872,25.471,0.849,6597799
peak93,13.104,13.112,0.723,1041670528
peak94,13.098,25.411,0.835,2358862
peak95,13.098,25.471,0.849,2238820
peak96,13.098,22.777,1.044,10204349
peak97,13.816,13.819,0.765,973103424
peak98,21.413,21.413,0.726,248673280
peak99,21.413,21.099,0.889,31748356
peak100,21.099,21.413,0.726,22950212
peak101,21.099,21.099,0.889,1141783296
peak102,21.099,23.028,0.361,4275870
peak103,25.437,13.116,0.723,5401840
peak104,25.411,25.411,0.835,513172480
peak105,25.411,22.777,1.044,3719536
peak106,25.411,22.760,1.011,2630528
peak107,25.468,23.749,0.181,2937526
peak108,25.471,24.872,-0.312,4025386
peak109,25.471,25.471,0.849,728459648
peak110,25.471,23.325,0.892,2125520
peak111,25.471,14.185,0.738,3596784
peak112,23.325,25.411,0.835,1374240
peak113,23.372,25.471,0.849,1728019
peak114,23.325,23.325,0.892,282994144
peak115,23.391,23.391,0.798,610932736
peak116,23.379,17.013,2.014,2362421
peak117,14.179,23.713,0.180,2959070
peak118,14.185,25.471,0.849,1863125
peak119,14.185,23.325,0.892,1625368
peak120,14.185,14.185,0.738,1058071424
peak121,14.175,17.008,2.017,5825012
peak122,16.996,27.658,0.962,3236629
peak123,17.006,23.717,0.179,3768046
peak124,17.009,23.391,0.798,1511832
peak125,17.009,14.185,0.738,5580770
peak126,17.005,17.001,2.017,1421808640
peak127,13.133,17.552,2.027,2143618
peak128,13.183,13.172,0.872,1189007616
peak129,17.181,24.658,0.593,1112797
peak130,17.185,26.795,0.946,2764773
peak131,17.182,12.561,0.581,11542379
peak132,17.186,24.379,0.890,3187847
peak133,17.184,17.173,1.843,322371424
peak134,11.959,24.628,0.594,1184407
peak135,11.974,12.567,0.582,8834727
peak136,11.962,27.664,0.963,4542302
peak137,11.970,11.963,0.100,1199418496
peak138,11.979,23.903,0.654,7601082
peak139,13.882,13.885,0.318,54140276
peak140,21.824,21.824,0.788,189134736
peak141,21.730,13.868,0.473,3751730
peak142,21.718,21.725,0.629,473903040
peak143,21.624,21.616,0.991,1491725952
peak144,23.899,24.678,0.594,3343829
peak145,23.894,11.971,0.100,11148715
