label,c1,c2,h2,intensity
peak1,27.086,8.013,0.479,2.03E+07
peak2,25.395,8.017,0.479,6.64E+06
peak3,24.984,8.004,0.478,9.51E+06
peak4,23.987,7.972,0.479,9.93E+06
peak5,23.573,8.021,0.478,4.69E+06
peak6,22.135,8.046,0.479,6.30E+06
peak7,26.674,7.916,0.478,1.54E+07
peak8,10.972,9.149,0.756,4.95E+06
peak9,27.571,9.111,0.757,1.85E+07
peak10,24.961,9.122,0.758,8.37E+06
peak11,23.969,9.126,0.756,1.60E+07
peak12,23.567,11.948,0.947,8.94E+06
peak13,21.596,23.559,0.309,2.65E+07
peak14,11.925,23.561,0.309,4.28E+06
peak15,10.992,23.550,0.309,4.44E+06
peak16,26.061,27.149,0.224,1.32E+07
peak17,25.562,27.157,0.225,4.35E+06
peak18,24.444,27.140,0.226,6.55E+06
peak19,24.005,27.145,0.224,1.99E+07
peak20,22.384,27.161,0.225,6.92E+06
peak21,21.941,27.115,0.224,3.84E+06
peak22,12.538,27.135,0.225,6.82E+06
peak23,23.636,13.338,0.904,1.39E+07
peak24,24.983,13.883,0.679,1.44E+07
peak25,23.965,13.851,0.680,1.58E+07
peak26,22.169,13.879,0.680,1.06E+07
peak27,20.741,13.870,0.679,2.17E+07
peak28,26.501,23.207,0.914,5.06E+07
peak29,26.748,25.147,1.310,1.18E+07
peak30,26.055,25.160,1.309,5.54E+06
peak31,23.798,10.971,-0.326,1.32E+07
peak32,21.590,10.982,-0.326,9.07E+06
peak33,27.581,10.984,-0.326,1.85E+07
peak34,9.107,10.998,-0.327,5.64E+06
peak35,23.552,10.945,-0.326,8.88E+06
peak36,27.156,12.540,-0.382,1.04E+07
peak37,26.050,12.540,-0.383,6.01E+06
peak38,23.995,12.542,-0.382,9.39E+06
peak39,21.936,12.557,-0.382,1.33E+07
peak40,26.677,14.538,0.791,8.93E+06
peak41,25.378,14.529,0.793,1.24E+07
peak42,24.159,14.559,0.792,1.50E+07
peak43,23.541,14.543,0.791,5.74E+06
peak44,22.126,14.520,0.793,7.12E+06
peak45,21.521,14.508,0.792,4.44E+06
peak46,24.394,14.555,0.792,1.19E+07
peak47,14.536,21.501,0.782,4.34E+06
peak48,23.559,21.540,0.780,4.79E+07
peak49,24.400,21.491,0.784,9.14E+06
peak50,25.426,21.494,0.783,1.13E+07
peak51,10.983,21.607,0.777,5.18E+06
peak52,24.996,20.730,0.572,8.33E+06
peak53,23.971,20.735,0.571,1.40E+07
peak54,22.174,20.736,0.571,3.90E+07
peak55,13.864,20.737,0.571,1.47E+07
peak56,20.722,22.169,0.912,3.76E+07
peak57,23.801,22.158,0.912,1.61E+07
peak58,13.851,22.181,0.913,5.85E+06
peak59,21.496,23.557,0.971,2.58E+07
peak60,24.363,23.634,0.970,7.47E+06
peak61,26.499,23.561,0.970,6.61E+06
peak62,23.560,24.366,1.063,9.26E+06
peak63,26.651,24.357,1.063,2.28E+07
peak64,25.385,24.398,1.063,6.72E+06
peak65,21.501,24.390,1.065,9.57E+06
peak66,14.519,24.398,1.063,8.69E+06
peak67,25.571,21.723,0.797,2.72E+07
peak68,21.732,25.596,0.838,2.74E+07
peak69,14.521,22.139,0.774,7.66E+06
peak70,26.774,22.088,0.774,6.89E+06
peak71,25.390,22.154,0.774,1.80E+07
peak72,24.166,22.158,0.774,1.39E+07
peak73,8.038,22.142,0.773,3.60E+06
peak74,8.011,25.398,0.742,5.27E+06
peak75,14.531,25.402,0.741,9.58E+06
peak76,22.136,25.402,0.741,1.54E+07
peak77,21.523,25.409,0.741,9.11E+06
peak78,24.374,25.383,0.742,6.88E+06
peak79,12.547,21.952,0.640,1.11E+07
peak80,26.031,21.955,0.640,2.95E+07
peak81,21.950,25.984,0.840,2.04E+07
peak82,26.068,22.421,0.093,1.73E+07
peak83,25.382,22.374,0.093,2.84E+07
peak84,24.460,22.372,0.093,7.97E+06
peak85,27.144,22.381,0.094,7.54E+06
peak86,21.947,22.372,0.093,7.31E+06
peak87,22.352,21.970,0.641,8.47E+06
peak88,22.385,25.394,0.899,2.55E+07
peak89,26.035,25.422,0.900,1.02E+07
peak90,27.268,22.076,0.308,1.85E+07
peak91,26.763,22.048,0.308,7.42E+06
peak92,25.009,22.076,0.307,9.38E+06
peak93,24.563,22.081,0.308,5.07E+06
peak94,23.648,22.094,0.309,4.07E+06
peak95,22.091,27.286,0.900,1.89E+07
peak96,24.987,27.301,0.900,2.04E+07
peak97,26.743,27.273,0.901,6.56E+06
peak98,24.549,27.264,0.902,9.05E+06
peak99,26.476,22.679,0.476,5.99E+07
peak100,24.979,22.693,0.476,8.31E+06
peak101,22.687,26.472,0.843,5.36E+07
peak102,24.970,26.482,0.844,2.57E+07
peak103,27.438,22.979,0.377,2.95E+07
peak104,26.763,22.961,0.377,6.94E+06
peak105,25.171,22.984,0.377,7.34E+06
peak106,22.978,27.452,0.916,2.57E+07
peak107,27.148,24.011,0.686,2.20E+07
peak108,26.068,24.028,0.687,5.53E+06
peak109,25.578,24.023,0.686,1.31E+07
peak110,21.762,24.032,0.687,7.96E+06
peak111,12.545,24.029,0.686,8.40E+06
peak112,22.174,23.795,0.787,1.75E+07
peak113,20.733,23.802,0.787,6.18E+06
peak114,27.581,23.789,0.787,2.51E+07
peak115,10.969,23.830,0.787,7.01E+06
peak116,10.994,27.578,0.819,1.08E+07
peak117,23.819,27.573,0.819,2.88E+07
peak118,9.120,27.577,0.819,1.10E+07
peak119,27.280,24.954,1.155,1.33E+07
peak120,27.578,24.952,1.155,7.94E+06
peak121,26.479,24.946,1.155,1.60E+07
peak122,24.957,27.550,0.819,5.01E+06
peak123,26.478,25.031,1.221,1.09E+07
peak124,27.295,25.031,1.222,1.26E+07
peak125,25.000,23.550,0.870,5.47E+07
peak126,26.386,24.105,0.957,2.37E+07
peak127,24.763,26.445,0.891,1.27E+07
peak128,24.119,26.398,0.890,2.26E+07
peak129,25.207,23.090,0.900,8.57E+07
peak130,23.082,25.192,0.958,9.96E+07
