label,c1,c2,h2,short_range,intensity
peak1,27.086000,8.013000,0.479000,x,20300000.000000
peak2,25.395000,8.017000,0.479000,,6640000.000000
peak3,24.983999,8.004000,0.478000,,9510000.000000
peak4,23.987000,7.972000,0.479000,,9930000.000000
peak5,23.573000,8.021000,0.478000,,4690000.000000
peak6,22.135000,8.046000,0.479000,,6300000.000000
peak7,26.674000,7.916000,0.478000,x,15400000.000000
peak8,10.972000,9.149000,0.756000,,4950000.000000
peak9,27.570999,9.111000,0.757000,x,18500000.000000
peak10,24.961000,9.122000,0.758000,,8370000.000000
peak11,23.969000,9.126000,0.756000,,16000000.000000
peak12,23.566999,11.948000,0.947000,,8940000.000000
peak13,21.596001,23.559000,0.309000,x,26500000.000000
peak14,11.925000,23.561001,0.309000,,4280000.000000
peak15,10.992000,23.549999,0.309000,,4440000.000000
peak16,26.061001,27.149000,0.224000,x,13200000.000000
peak17,25.562000,27.157000,0.225000,,4350000.000000
peak18,24.444000,27.139999,0.226000,x,6550000.000000
peak19,24.004999,27.145000,0.224000,x,19900000.000000
peak20,22.384001,27.160999,0.225000,x,6920000.000000
peak21,21.941000,27.115000,0.224000,,3840000.000000
peak22,12.538000,27.135000,0.225000,x,6820000.000000
peak23,23.636000,13.338000,0.904000,,13900000.000000
peak24,24.983000,13.883000,0.679000,,14400000.000000
peak25,23.965000,13.851000,0.680000,,15800000.000000
peak26,22.169001,13.879000,0.680000,,10600000.000000
peak27,20.740999,13.870000,0.679000,x,21700000.000000
peak28,26.500999,23.207001,0.914000,x,50600000.000000
peak29,26.747999,25.146999,1.310000,x,11800000.000000
peak30,26.055000,25.160000,1.309000,,5540000.000000
peak31,23.798000,10.971000,-0.326000,x,13200000.000000
peak32,21.590000,10.982000,-0.326000,,9070000.000000
peak33,27.580999,10.984000,-0.326000,x,18500000.000000
peak34,9.107000,10.998000,-0.327000,,5640000.000000
peak35,23.552000,10.945000,-0.326000,,8880000.000000
peak36,27.156000,12.540000,-0.382000,x,10400000.000000
peak37,26.049999,12.540000,-0.383000,,6010000.000000
peak38,23.995001,12.542000,-0.382000,x,9390000.000000
peak39,21.936001,12.557000,-0.382000,x,13300000.000000
peak40,26.677000,14.538000,0.791000,,8930000.000000
peak41,25.378000,14.529000,0.793000,x,12400000.000000
peak42,24.159000,14.559000,0.792000,x,15000000.000000
peak43,23.541000,14.543000,0.791000,,5740000.000000
peak44,22.125999,14.520000,0.793000,,7120000.000000
peak45,21.521000,14.508000,0.792000,,4440000.000000
peak46,24.393999,14.555000,0.792000,x,11900000.000000
peak47,14.536000,21.500999,0.782000,,4340000.000000
peak48,23.559000,21.540001,0.780000,x,47900000.000000
peak49,24.400000,21.490999,0.784000,x,9140000.000000
peak50,25.426001,21.493999,0.783000,x,11300000.000000
peak51,10.983000,21.607000,0.777000,,5180000.000000
peak52,24.996000,20.730000,0.572000,x,8330000.000000
peak53,23.971001,20.735001,0.571000,x,14000000.000000
peak54,22.174000,20.736000,0.571000,x,39000000.000000
peak55,13.864000,20.737000,0.571000,x,14700000.000000
peak56,20.722000,22.169001,0.912000,x,37600000.000000
peak57,23.801001,22.158001,0.912000,x,16100000.000000
peak58,13.851000,22.181000,0.913000,,5850000.000000
peak59,21.496000,23.556999,0.971000,x,25800000.000000
peak60,24.363001,23.634001,0.970000,,7470000.000000
peak61,26.499001,23.561001,0.970000,,6610000.000000
peak62,23.559999,24.365999,1.063000,,9260000.000000
peak63,26.650999,24.357000,1.063000,x,22800000.000000
peak64,25.385000,24.398001,1.063000,,6720000.000000
peak65,21.500999,24.389999,1.065000,x,9570000.000000
peak66,14.519000,24.398001,1.063000,,8690000.000000
peak67,25.570999,21.723000,0.797000,x,27200000.000000
peak68,21.732000,25.596001,0.838000,x,27400000.000000
peak69,14.521000,22.139000,0.774000,,7660000.000000
peak70,26.774000,22.087999,0.774000,x,6890000.000000
peak71,25.389999,22.153999,0.774000,x,18000000.000000
peak72,24.166000,22.158001,0.774000,,13900000.000000
peak73,8.038000,22.142000,0.773000,,3600000.000000
peak74,8.011000,25.398001,0.742000,,5270000.000000
peak75,14.531000,25.402000,0.741000,x,9580000.000000
peak76,22.136000,25.402000,0.741000,x,15400000.000000
peak77,21.523001,25.409000,0.741000,x,9110000.000000
peak78,24.374001,25.382999,0.742000,,6880000.000000
peak79,12.547000,21.952000,0.640000,x,11100000.000000
peak80,26.031000,21.955000,0.640000,x,29500000.000000
peak81,21.950001,25.983999,0.840000,x,20400000.000000
peak82,26.068001,22.421000,0.093000,x,17300000.000000
peak83,25.382000,22.374001,0.093000,x,28400000.000000
peak84,24.459999,22.372000,0.093000,x,7970000.000000
peak85,27.143999,22.381001,0.094000,x,7540000.000000
peak86,21.947001,22.372000,0.093000,,7310000.000000
peak87,22.351999,21.969999,0.641000,,8470000.000000
peak88,22.385000,25.393999,0.899000,x,25500000.000000
peak89,26.035000,25.422001,0.900000,,10200000.000000
peak90,27.268000,22.076000,0.308000,x,18500000.000000
peak91,26.763000,22.048000,0.308000,x,7420000.000000
peak92,25.009001,22.076000,0.307000,,9380000.000000
peak93,24.563000,22.080999,0.308000,,5070000.000000
peak94,23.648001,22.094000,0.309000,,4070000.000000
peak95,22.091000,27.285999,0.900000,x,18900000.000000
peak96,24.987000,27.301001,0.900000,x,20400000.000000
peak97,26.743000,27.273001,0.901000,,6560000.000000
peak98,24.549000,27.264000,0.902000,,9050000.000000
peak99,26.476000,22.679001,0.476000,x,59900000.000000
peak100,24.979000,22.693001,0.476000,,8310000.000000
peak101,22.687000,26.472000,0.843000,x,53600000.000000
peak102,24.969999,26.482000,0.844000,x,25700000.000000
peak103,27.438000,22.979000,0.377000,x,29500000.000000
peak104,26.763000,22.961000,0.377000,x,6940000.000000
peak105,25.171000,22.983999,0.377000,x,7340000.000000
peak106,22.978001,27.452000,0.916000,x,25700000.000000
peak107,27.148001,24.011000,0.686000,x,22000000.000000
peak108,26.068001,24.028000,0.687000,,5530000.000000
peak109,25.577999,24.023001,0.686000,x,13100000.000000
peak110,21.761999,24.032000,0.687000,,7960000.000000
peak111,12.545000,24.028999,0.686000,x,8400000.000000
peak112,22.174000,23.795000,0.787000,x,17500000.000000
peak113,20.733000,23.802000,0.787000,,6180000.000000
peak114,27.580999,23.789000,0.787000,x,25100000.000000
peak115,10.969000,23.830000,0.787000,x,7010000.000000
peak116,10.994000,27.577999,0.819000,x,10800000.000000
peak117,23.819000,27.573000,0.819000,x,28800000.000000
peak118,9.120000,27.577000,0.819000,x,11000000.000000
peak119,27.280001,24.954000,1.155000,x,13300000.000000
peak120,27.577999,24.952000,1.155000,x,7940000.000000
peak121,26.479000,24.945999,1.155000,x,16000000.000000
peak122,24.957001,27.549999,0.819000,,5010000.000000
peak123,26.478001,25.031000,1.221000,,10900000.000000
peak124,27.295000,25.031000,1.222000,x,12600000.000000
peak125,25.000000,23.549999,0.870000,x,54700000.000000
peak126,26.386000,24.105000,0.957000,x,23700000.000000
peak127,24.763000,26.445000,0.891000,x,12700000.000000
peak128,24.118999,26.398001,0.890000,x,22600000.000000
peak129,25.207001,23.090000,0.900000,x,85700000.000000
peak130,23.082001,25.191999,0.958000,x,99600000.000000
peak131,23.351000,25.191999,0.968000,x,84900000.000000
peak132,25.176001,23.334000,0.951000,x,95100000.000000
peak133,25.636000,23.245001,0.983000,x,67400000.000000
peak134,23.245001,25.632999,0.846000,x,61000000.000000
peak135,25.035999,23.302999,1.037000,x,102000000.000000
peak136,14.518000,24.164000,1.054000,x,14000000.000000
peak137,22.150999,24.198000,1.056000,,9220000.000000
