label,c1,c2,h2,intensity
peak1,8.858,8.866,0.719,3.46E+08
peak2,24.841,8.871,0.720,1.10E+07
peak3,23.478,8.868,0.720,3.99E+06
peak4,11.926,11.933,0.802,4.08E+08
peak5,26.615,11.927,0.802,1.19E+07
peak6,21.620,11.945,0.801,1.82E+07
peak7,20.144,11.931,0.801,9.51E+06
peak8,11.304,11.305,0.202,4.38E+07
peak9,12.669,12.671,0.841,3.52E+08
peak10,21.415,12.658,0.842,7.23E+06
peak11,13.509,13.521,0.661,2.07E+08
peak12,21.106,13.505,0.659,4.63E+06
peak13,23.360,13.484,0.660,5.78E+06
peak14,13.320,13.318,0.648,2.06E+08
peak15,22.501,13.311,0.646,6.21E+06
peak16,23.082,13.265,0.648,2.82E+06
peak17,24.385,13.366,0.649,4.90E+06
peak18,26.418,13.337,0.648,3.05E+06
peak19,13.723,13.723,0.595,2.13E+08
peak20,26.417,13.698,0.596,3.63E+06
peak21,25.163,13.723,0.596,3.21E+06
peak22,24.540,13.720,0.596,8.71E+06
peak23,23.336,13.691,0.596,2.82E+06
peak24,22.514,13.732,0.597,4.95E+06
peak25,21.865,13.717,0.596,1.71E+06
peak26,21.120,13.714,0.595,3.81E+06
peak27,13.936,13.928,0.326,3.59E+07
peak28,26.672,13.966,0.330,3.20E+06
peak29,22.605,14.165,1.004,3.39E+06
peak30,25.744,14.147,1.002,1.20E+07
peak31,14.134,14.135,1.002,2.79E+08
peak32,14.295,14.309,0.990,6.59E+07
peak33,13.864,13.865,0.774,1.27E+08
peak34,25.584,13.873,0.777,1.50E+06
peak35,24.493,13.839,0.775,2.45E+06
peak36,16.116,16.116,0.228,8.82E+07
peak37,24.055,16.124,0.229,6.43E+06
peak38,23.223,16.116,0.227,4.21E+06
peak39,27.269,16.113,0.228,5.58E+06
peak40,24.759,24.230,0.880,2.79E+07
peak41,24.254,24.230,0.880,3.79E+08
peak42,24.788,24.789,0.909,3.82E+08
peak43,24.230,24.789,0.909,2.76E+07
peak44,25.664,25.672,1.186,4.61E+08
peak45,24.099,25.675,1.187,2.20E+07
peak46,25.664,24.083,1.292,1.62E+07
peak47,24.089,24.084,1.293,2.33E+08
peak48,26.431,21.109,0.644,2.41E+07
peak49,23.349,21.106,0.643,1.22E+07
peak50,21.109,21.109,0.643,3.53E+08
peak51,21.111,26.424,0.762,1.76E+07
peak52,26.432,26.431,0.763,3.27E+08
peak53,25.554,26.420,0.763,1.10E+07
peak54,25.740,22.621,0.658,3.43E+07
peak55,22.618,22.620,0.658,6.51E+08
peak56,25.736,25.736,0.822,5.58E+08
peak57,22.618,25.739,0.821,3.33E+07
peak58,24.490,25.602,1.042,9.99E+06
peak59,25.635,25.651,1.045,1.73E+08
peak60,23.229,25.620,1.043,4.81E+06
peak61,24.488,24.493,1.012,3.32E+08
peak62,25.634,24.504,1.012,1.20E+07
peak63,24.840,24.841,1.017,8.19E+08
peak64,24.839,23.492,0.934,4.89E+07
peak65,23.488,24.836,1.017,4.43E+07
peak66,23.525,23.500,0.935,6.70E+08
peak67,21.147,21.155,0.790,1.81E+08
peak68,23.502,21.145,0.791,1.12E+07
peak69,26.964,21.149,0.791,9.64E+06
peak70,23.504,23.504,0.171,6.63E+07
peak71,21.144,23.499,0.173,8.07E+06
peak72,19.512,23.492,0.170,5.49E+06
peak73,25.755,19.534,-0.585,5.75E+06
peak74,23.486,19.514,-0.586,1.84E+07
peak75,19.510,19.520,-0.585,1.47E+08
peak76,23.477,23.477,0.426,1.44E+08
peak77,22.746,23.475,0.426,8.00E+06
peak78,19.509,23.475,0.426,1.14E+07
peak79,26.964,26.960,0.383,1.64E+08
peak80,22.730,26.970,0.384,7.58E+06
peak81,21.141,26.965,0.385,5.61E+06
peak82,26.947,22.740,0.337,6.26E+06
peak83,23.475,22.766,0.338,5.85E+06
peak84,22.725,22.726,0.335,6.43E+07
peak85,25.753,25.751,0.322,9.90E+07
peak86,23.969,25.752,0.325,8.47E+06
peak87,23.508,25.765,0.323,4.93E+06
peak88,19.506,25.760,0.322,5.35E+06
peak89,23.980,23.981,0.509,1.56E+08
peak90,27.237,23.968,0.509,5.14E+06
peak91,25.756,23.984,0.509,1.27E+07
peak92,23.892,23.882,1.347,1.75E+08
peak93,21.437,23.884,1.347,1.72E+07
peak94,19.638,23.890,1.347,9.84E+06
peak95,21.437,21.436,1.168,2.06E+08
peak96,19.638,21.434,1.170,4.60E+06
peak97,27.259,21.441,1.168,4.22E+06
peak98,26.617,21.450,1.168,4.77E+06
peak99,23.899,21.445,1.169,1.49E+07
peak100,27.253,23.909,1.347,3.46E+06
peak101,23.217,21.419,1.167,3.51E+06
peak102,21.431,23.194,0.923,4.43E+06
peak103,16.105,23.205,0.926,3.24E+06
peak104,23.219,23.221,0.922,2.03E+08
peak105,27.254,23.213,0.922,1.02E+07
peak106,23.954,27.239,0.984,5.67E+06
peak107,23.472,27.250,0.983,2.44E+06
peak108,23.221,27.211,0.985,9.24E+06
peak109,21.432,27.267,0.986,4.98E+06
peak110,27.256,27.253,0.986,1.07E+08
peak111,16.134,27.278,0.984,3.76E+06
peak112,19.626,19.629,0.303,5.80E+08
peak113,21.533,19.645,0.303,5.91E+06
peak114,24.617,19.627,0.303,1.46E+07
peak115,23.900,19.630,0.301,7.27E+06
peak116,24.609,19.686,0.050,6.26E+06
peak117,19.670,19.678,0.049,1.80E+08
peak118,11.931,26.612,1.239,9.50E+06
peak119,21.467,26.614,1.239,1.11E+07
peak120,19.643,26.619,1.239,4.97E+06
peak121,24.061,26.616,1.239,2.60E+07
peak122,26.614,26.612,1.239,4.06E+08
peak123,24.615,26.612,1.240,4.73E+06
peak124,24.065,24.058,0.958,2.88E+08
peak125,26.609,24.051,0.959,2.34E+07
peak126,16.126,24.061,0.958,6.18E+06
peak127,25.681,23.992,0.958,1.42E+07
peak128,24.617,21.607,0.988,3.27E+07
peak129,21.604,21.604,0.988,6.22E+08
peak130,19.636,21.589,0.988,6.86E+06
peak131,21.603,24.613,0.638,2.66E+07
peak132,19.642,24.623,0.637,1.95E+07
peak133,24.613,24.610,0.638,2.88E+08
peak134,24.065,25.678,0.790,1.25E+07
peak135,23.507,25.675,0.790,2.93E+07
peak136,25.674,25.678,0.790,5.06E+08
peak137,21.386,25.670,0.789,1.45E+07
peak138,21.393,23.510,0.768,7.84E+06
peak139,23.507,23.506,0.766,7.82E+08
peak140,25.676,23.502,0.765,3.32E+07
peak141,24.059,23.529,0.766,2.12E+07
peak142,21.374,20.736,-0.407,3.03E+07
peak143,20.730,20.736,-0.408,2.53E+08
peak144,20.739,21.403,0.498,2.87E+07
peak145,21.393,21.404,0.498,2.96E+08
peak146,25.669,21.408,0.499,1.08E+07
peak147,23.518,21.392,0.499,5.21E+06
peak148,22.561,22.565,1.170,3.80E+08
peak149,21.855,22.565,1.170,3.28E+07
peak150,24.385,21.843,0.490,7.96E+06
peak151,22.557,21.839,0.490,3.03E+07
peak152,21.841,21.903,0.490,2.99E+08
peak153,24.387,24.386,0.447,4.68E+08
peak154,23.361,24.386,0.448,3.26E+07
peak155,21.853,24.390,0.448,9.12E+06
peak156,21.107,24.396,0.446,5.02E+06
peak157,26.426,24.406,0.448,6.19E+06
peak158,26.428,23.355,0.547,6.11E+06
peak159,24.386,23.357,0.545,3.81E+07
peak160,23.361,23.354,0.546,4.83E+08
peak161,21.858,23.346,0.545,4.68E+06
peak162,21.104,23.361,0.546,1.02E+07
peak163,23.272,20.202,0.468,2.23E+07
peak164,20.203,20.208,0.469,3.08E+08
peak165,20.206,23.288,1.002,2.11E+07
peak166,23.268,23.272,1.002,2.42E+08
peak167,26.822,23.281,1.004,5.55E+06
peak168,26.826,26.819,0.974,6.41E+08
peak169,25.542,26.819,0.973,2.40E+07
peak170,24.538,26.855,0.975,4.56E+06
peak171,26.826,25.533,1.013,2.24E+07
peak172,25.545,25.541,1.014,5.61E+08
peak173,26.424,25.548,1.014,1.65E+07
peak174,23.261,26.844,0.973,7.94E+06
peak175,24.553,26.407,1.019,1.34E+07
peak176,22.501,26.402,1.019,1.63E+07
peak177,26.407,26.406,1.018,3.50E+08
peak178,22.498,22.495,0.929,2.90E+08
peak179,24.545,22.503,0.929,1.41E+07
peak180,26.413,22.495,0.929,3.50E+07
peak181,13.743,22.489,0.927,3.69E+06
peak182,13.301,22.490,0.927,4.58E+06
peak183,25.192,22.490,0.929,4.23E+06
peak184,26.416,24.862,0.834,5.34E+06
peak185,24.865,24.866,0.834,3.71E+08
peak186,21.423,24.871,0.835,2.14E+07
peak187,23.271,24.890,0.836,8.33E+06
peak188,26.418,21.419,0.927,8.81E+06
peak189,24.865,21.425,0.927,2.44E+07
peak190,21.424,21.424,0.927,3.55E+08
peak191,12.667,21.424,0.926,5.45E+06
peak192,13.663,13.663,0.421,3.09E+07
peak193,28.048,28.062,0.742,6.31E+07
peak194,23.803,28.062,0.744,9.04E+06
peak195,28.063,23.822,0.230,2.46E+06
peak196,26.625,23.809,0.232,2.31E+06
peak197,23.808,23.811,0.231,2.15E+07
peak198,21.633,20.134,0.641,3.20E+07
peak199,20.146,20.143,0.642,7.43E+08
peak200,11.929,20.163,0.642,5.50E+06
peak201,11.931,21.634,0.499,6.71E+06
peak202,20.145,21.629,0.498,3.24E+07
peak203,21.635,21.631,0.498,7.47E+08
peak204,24.555,25.175,0.438,3.48E+07
peak205,22.608,25.176,0.439,1.52E+07
peak206,25.169,25.174,0.437,6.67E+08
peak207,26.418,25.173,0.439,9.57E+06
peak208,22.522,24.548,0.691,1.54E+07
peak209,25.171,24.547,0.690,3.64E+07
peak210,24.549,24.548,0.690,6.96E+08
peak211,26.415,24.551,0.691,2.59E+07
peak212,13.726,24.573,0.692,5.90E+06
peak213,25.250,25.245,0.879,6.58E+08
peak214,22.625,25.251,0.878,4.42E+07
peak215,25.236,22.627,0.699,5.56E+07
peak216,22.626,22.625,0.698,6.02E+08
peak217,23.023,23.018,1.026,4.50E+08
peak218,26.425,23.025,1.025,3.33E+07
peak219,23.020,26.424,0.825,3.09E+07
peak220,26.425,26.425,0.824,5.51E+08
peak221,21.423,26.432,0.825,6.59E+06
peak222,24.391,26.457,0.824,6.06E+06
peak223,24.420,22.992,1.025,5.51E+06
peak224,23.606,27.925,0.749,9.04E+06
peak225,27.887,27.879,0.755,1.43E+08
peak226,27.885,23.609,0.982,6.65E+06
peak227,23.629,23.617,0.987,6.58E+07
peak228,26.230,26.230,0.164,5.32E+07
peak229,23.232,26.220,0.165,5.04E+06
peak230,23.218,23.217,0.725,1.46E+08
peak231,26.232,23.202,0.724,6.00E+06
peak232,21.367,21.373,0.772,7.74E+08
peak233,19.732,21.370,0.773,2.89E+07
peak234,21.366,19.735,0.764,3.78E+07
peak235,19.729,19.730,0.765,8.49E+08
peak236,18.465,18.474,0.795,2.21E+08
peak237,22.342,18.478,0.795,1.34E+07
peak238,22.332,22.406,0.696,1.35E+08
peak239,18.460,22.348,0.696,9.05E+06
peak240,26.648,24.187,1.125,8.43E+06
peak241,24.190,24.190,1.125,1.23E+08
peak242,24.190,26.634,0.800,7.71E+06
peak243,26.648,26.644,0.800,9.81E+07
peak244,23.785,26.194,0.935,1.07E+07
peak245,26.187,26.188,0.934,1.65E+08
peak246,23.779,23.781,0.959,2.34E+08
peak247,26.184,23.795,0.959,1.18E+07
peak248,23.186,23.183,0.865,2.45E+08
peak249,25.735,23.194,0.864,1.36E+07
peak250,23.219,25.737,0.756,1.72E+07
peak251,25.730,25.729,0.756,2.45E+08
peak252,24.083,24.074,0.765,2.08E+08
peak253,26.644,24.046,0.762,6.62E+06
peak254,24.077,26.628,0.640,4.52E+06
peak255,26.637,26.633,0.639,4.26E+07
peak256,12.887,13.870,0.775,1.32E+07
peak257,21.529,19.699,0.049,2.24E+06
peak258,23.923,19.710,0.044,2.43E+06
peak259,23.514,20.730,-0.407,2.70E+06
peak260,25.699,20.759,-0.405,2.13E+06
peak261,21.126,19.524,-0.583,2.67E+06
peak262,22.785,19.568,-0.583,2.59E+06
peak263,23.920,19.496,-0.583,2.47E+06
peak264,26.615,19.635,0.301,2.58E+06
peak265,20.479,18.483,0.795,1.13E+07
peak266,19.523,21.182,0.790,9.46E+06
peak267,25.758,23.494,0.170,3.72E+06
peak268,26.996,23.505,0.173,1.64E+06
peak269,23.325,21.406,0.930,2.13E+06
peak270,23.020,21.416,0.926,3.59E+06
peak271,11.917,21.617,0.987,2.59E+06
peak272,26.614,21.614,0.986,3.79E+06
peak273,24.056,21.395,0.497,1.91E+06
peak274,21.146,22.354,0.697,4.34E+06
peak275,20.742,23.494,0.765,3.89E+06
peak276,26.605,23.499,0.768,2.60E+06
peak277,24.812,23.532,0.766,3.65E+06
peak278,27.860,23.206,0.861,3.74E+06
peak279,24.719,23.199,0.864,9.62E+06
peak280,24.217,23.213,0.867,7.57E+06
peak281,21.421,23.032,1.027,3.72E+06
peak282,24.858,23.021,1.026,2.83E+06
peak283,21.414,24.039,0.958,3.46E+06
peak284,13.847,24.517,1.012,2.33E+06
peak285,26.101,24.538,1.015,2.35E+06
peak286,8.864,24.844,1.017,6.99E+06
peak287,26.209,24.181,1.127,1.87E+06
peak288,11.919,21.460,1.170,2.58E+06
peak289,24.721,24.127,1.294,6.81E+06
peak290,26.641,23.880,1.347,2.44E+06
peak291,24.786,25.674,1.186,7.29E+06
peak292,25.686,26.636,1.239,3.52E+06
peak293,22.564,25.521,1.014,3.30E+06
peak294,24.562,25.546,1.014,1.07E+07
peak295,25.189,26.399,1.020,5.47E+06
peak296,24.188,26.182,0.934,4.91E+06
peak297,25.665,24.226,0.878,3.97E+06
peak298,25.651,24.763,0.905,6.45E+06
peak299,26.794,24.543,0.691,4.09E+06
peak300,14.139,25.745,0.821,7.17E+06
peak301,20.751,25.699,0.792,2.77E+06
peak302,23.291,26.414,0.763,7.32E+06
peak303,22.501,26.436,0.763,9.30E+06
peak304,24.540,26.438,0.763,8.32E+06
peak305,25.204,26.435,0.764,5.95E+06
peak306,27.884,25.742,0.756,4.51E+06
peak307,23.739,25.739,0.755,1.51E+07
peak308,24.887,26.430,0.823,4.79E+06
peak309,23.297,26.424,0.824,5.56E+06
peak310,22.495,26.850,0.971,3.30E+06
peak311,25.756,27.252,0.983,2.64E+06
peak312,25.740,27.889,0.752,5.53E+06
peak313,23.235,27.833,0.753,4.11E+06
peak314,23.868,26.642,0.640,3.26E+06
peak315,23.477,26.977,0.385,2.13E+06
peak316,13.361,24.416,0.448,2.24E+06
peak317,13.766,25.186,0.444,2.13E+06
peak318,19.491,23.931,0.509,2.40E+06
peak319,23.005,23.983,0.509,1.23E+07
peak320,26.587,24.004,0.511,2.21E+06
peak321,13.432,23.378,0.546,3.27E+06
peak322,24.838,23.345,0.546,5.60E+06
peak323,21.428,23.389,0.546,2.46E+06
peak324,26.614,24.649,0.636,2.19E+06
peak325,25.648,23.189,0.725,4.50E+06
peak326,24.575,22.621,0.698,4.82E+06
peak327,25.548,26.411,1.018,5.93E+06
peak328,25.557,24.544,0.690,5.69E+06
peak329,24.547,25.283,0.878,7.06E+06
peak330,25.251,24.550,0.691,3.55E+07
peak331,23.305,24.550,0.692,4.75E+06
peak332,21.114,21.469,0.927,1.70E+07
peak333,23.017,24.400,0.447,7.85E+06
peak334,24.879,24.415,0.448,1.14E+07
peak335,24.064,23.496,0.935,2.51E+07
peak336,25.750,23.778,0.958,1.29E+07
peak337,25.546,23.339,1.003,2.05E+06
peak338,23.877,26.645,1.238,6.78E+06
peak339,21.445,24.003,0.509,1.74E+06
peak340,24.009,21.430,1.169,9.03E+06
peak341,24.400,13.742,0.596,3.44E+06
peak342,22.520,21.129,0.645,3.21E+06
peak343,24.393,21.111,0.642,6.31E+06
peak344,13.686,21.090,0.643,2.93E+06
peak345,13.491,21.102,0.644,3.57E+06
peak346,26.606,26.182,0.934,1.05E+07
peak347,26.167,26.619,0.800,1.07E+07
peak348,19.727,20.145,0.643,1.28E+07
peak349,20.163,19.705,0.765,1.72E+07
peak350,21.111,22.534,0.927,3.37E+06
peak351,25.549,22.466,0.927,3.04E+06
peak352,26.821,22.464,0.929,4.73E+06
peak353,23.244,22.521,0.927,4.82E+06
peak354,26.415,26.850,0.973,3.56E+07
peak355,25.252,26.827,0.974,7.22E+06
peak356,25.756,26.215,0.937,6.96E+06
peak357,26.190,25.758,0.755,8.75E+06
peak358,23.613,28.066,0.743,5.20E+06
peak359,28.049,23.629,0.981,3.91E+06
